RespondentID,AI_Item1,AI_Item2,AI_Item3,AI_Item4,AI_Item5,AI_Score,TeamCollaboration_Item1,TeamCollaboration_Item2,TeamCollaboration_Item3,TeamCollaboration_Item4,TeamCollaboration_Item5,TeamCollaboration_Score,ProjectComplexity_Item1,ProjectComplexity_Item2,ProjectComplexity_Item3,ProjectComplexity_Item4,ProjectComplexity_Item5,ProjectComplexity_Score,ProjectSuccess_Item1,ProjectSuccess_Item2,ProjectSuccess_Item3,ProjectSuccess_Item4,ProjectSuccess_Item5,ProjectSuccess_Item6,ProjectSuccess_Score
16,4,5,4,4,5,4.4,5,4,4,5,5,4.6,3,2,3,3,2,2.6,5,5,4,4,5,4,4.5
17,3,2,3,4,3,3.0,3,4,2,2,3,2.8,3,4,2,4,3,3.2,4,3,5,4,3,3,3.6666666666666665
18,4,2,3,3,3,3.0,3,3,3,3,3,3.0,4,5,4,4,3,4.0,4,4,3,5,4,4,4.0
19,5,5,5,5,4,4.8,4,4,4,4,4,4.0,3,2,3,3,3,2.8,4,5,4,4,5,4,4.333333333333333
20,4,5,4,4,5,4.4,4,4,3,4,4,3.8,3,2,2,3,3,2.6,5,4,5,3,3,3,3.8333333333333335
21,4,3,3,4,4,3.6,3,5,3,4,4,3.8,5,4,3,4,3,3.8,4,4,3,3,3,4,3.5
22,4,5,4,5,4,4.4,4,5,4,4,4,4.2,3,2,4,2,3,2.8,5,4,5,5,5,5,4.833333333333333
23,3,4,3,3,3,3.2,3,3,4,3,4,3.4,3,2,3,4,3,3.0,4,3,3,4,3,4,3.5
24,3,4,4,4,4,3.8,3,3,5,4,3,3.6,4,2,4,3,3,3.2,4,5,4,5,5,5,4.666666666666667
25,5,5,5,5,4,4.8,4,4,5,4,5,4.4,4,3,3,3,2,3.0,5,5,5,3,4,4,4.333333333333333
26,3,2,4,4,4,3.4,3,4,3,3,4,3.4,2,3,1,2,2,2.0,5,5,4,4,4,5,4.5
27,5,4,4,5,4,4.4,4,4,4,4,4,4.0,5,4,3,4,3,3.8,4,5,5,5,5,4,4.666666666666667
28,4,4,3,4,4,3.8,3,3,4,4,4,3.6,5,3,5,4,3,4.0,3,2,2,3,2,3,2.5
29,4,5,5,5,4,4.6,5,5,3,4,4,4.2,4,4,3,4,3,3.6,3,4,3,4,4,5,3.8333333333333335
30,3,4,4,3,4,3.6,3,3,3,3,4,3.2,3,3,3,2,3,2.8,3,3,3,2,3,3,2.8333333333333335
31,3,4,4,5,3,3.8,4,4,5,5,4,4.4,3,4,3,3,5,3.6,5,4,4,4,4,5,4.333333333333333
32,4,4,4,4,4,4.0,4,3,2,2,2,2.6,3,3,3,2,2,2.6,3,4,3,4,3,3,3.3333333333333335
33,4,5,4,5,4,4.4,4,4,4,5,4,4.2,3,4,4,4,4,3.8,4,5,4,4,4,5,4.333333333333333
34,3,3,4,4,3,3.4,3,2,2,3,3,2.6,4,4,3,5,4,4.0,5,4,4,4,4,5,4.333333333333333
35,3,3,3,3,3,3.0,2,3,4,3,3,3.0,1,2,2,3,3,2.2,3,3,3,3,3,3,3.0
36,4,4,5,3,4,4.0,3,3,3,4,4,3.4,5,5,4,4,4,4.4,4,5,4,4,4,5,4.333333333333333
37,4,4,5,4,4,4.2,4,4,4,4,4,4.0,3,3,2,3,3,2.8,4,4,4,5,4,4,4.166666666666667
38,3,2,2,4,3,2.8,3,3,3,4,2,3.0,3,3,4,3,2,3.0,2,4,3,3,4,3,3.1666666666666665
39,4,5,5,5,4,4.6,5,5,5,4,4,4.6,3,4,4,4,2,3.4,5,4,5,5,4,4,4.5
40,4,4,4,4,4,4.0,3,3,3,3,2,2.8,3,3,3,3,2,2.8,5,4,4,5,4,4,4.333333333333333
41,5,5,5,5,4,4.8,5,4,5,5,5,4.8,3,3,3,2,2,2.6,4,4,3,3,2,3,3.1666666666666665
42,4,3,3,4,4,3.6,4,3,3,4,3,3.4,2,3,3,3,4,3.0,3,3,3,3,2,3,2.8333333333333335
43,5,4,3,4,4,4.0,3,4,4,3,3,3.4,3,2,4,3,4,3.2,4,4,5,5,4,5,4.5
44,4,5,4,4,4,4.2,5,3,3,4,4,3.8,3,4,4,4,4,3.8,4,4,4,4,4,4,4.0
45,3,3,2,3,3,2.8,2,2,2,2,3,2.2,3,2,3,3,4,3.0,4,4,3,2,3,4,3.3333333333333335
46,3,4,3,3,2,3.0,2,3,3,1,3,2.4,3,4,3,3,3,3.2,3,2,4,4,3,4,3.3333333333333335
47,3,3,3,4,3,3.2,2,3,3,3,3,2.8,3,3,4,2,2,2.8,4,4,4,5,5,4,4.333333333333333
48,5,4,4,4,4,4.2,3,4,4,4,4,3.8,2,2,1,1,1,1.4,5,5,4,5,4,4,4.5
49,5,2,2,3,4,3.2,4,4,3,2,3,3.2,2,2,2,2,3,2.2,5,5,5,3,5,5,4.666666666666667
50,4,4,3,4,4,3.8,3,3,4,4,3,3.4,4,3,3,2,3,3.0,4,3,4,4,4,4,3.8333333333333335
51,3,4,3,3,4,3.4,1,2,4,3,2,2.4,3,3,2,3,2,2.6,4,4,3,4,4,4,3.8333333333333335
52,5,5,5,3,4,4.4,5,5,5,5,5,5.0,2,3,4,3,3,3.0,5,5,5,5,5,5,5.0
53,4,4,4,4,4,4.0,4,4,5,5,3,4.2,1,2,3,3,2,2.2,5,3,4,4,5,4,4.166666666666667
54,3,5,5,4,4,4.2,4,4,4,3,4,3.8,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0
55,3,2,3,3,3,2.8,3,4,2,3,3,3.0,3,3,3,2,5,3.2,5,4,4,4,4,4,4.166666666666667
56,3,4,4,4,4,3.8,3,3,2,3,4,3.0,3,3,3,4,4,3.4,4,3,5,3,4,4,3.8333333333333335
57,3,4,3,4,4,3.6,3,5,4,4,4,4.0,1,3,2,2,1,1.8,4,3,3,3,4,1,3.0
58,3,4,4,5,4,4.0,4,4,5,4,4,4.2,4,3,4,3,5,3.8,4,5,5,4,5,5,4.666666666666667
59,4,4,3,4,4,3.8,3,3,3,4,3,3.2,4,3,3,3,4,3.4,5,5,5,4,5,4,4.666666666666667
60,5,4,4,5,4,4.4,5,5,5,5,3,4.6,3,3,4,3,3,3.2,5,4,4,5,5,5,4.666666666666667
61,3,4,4,4,4,3.8,4,3,5,4,4,4.0,3,4,5,4,5,4.2,4,3,4,5,5,5,4.333333333333333
62,2,2,2,4,3,2.6,2,2,3,2,2,2.2,4,5,4,4,5,4.4,3,3,3,3,3,3,3.0
63,3,2,2,2,1,2.0,2,3,2,2,2,2.2,5,4,4,4,5,4.4,2,2,2,2,3,3,2.3333333333333335
64,2,2,2,2,4,2.4,3,3,1,3,3,2.6,5,5,3,5,5,4.6,3,3,3,2,3,3,2.8333333333333335
65,4,4,4,4,3,3.8,3,3,3,4,4,3.4,2,3,4,4,3,3.2,3,3,3,4,3,5,3.5
66,4,4,4,4,4,4.0,4,4,4,4,3,3.8,4,2,3,4,3,3.2,4,5,4,5,3,3,4.0
67,3,3,3,3,3,3.0,2,3,3,4,4,3.2,2,3,3,4,3,3.0,4,4,4,4,5,4,4.166666666666667
68,3,4,4,4,5,4.0,4,3,3,4,5,3.8,4,4,4,3,3,3.6,5,4,4,5,4,4,4.333333333333333
69,4,3,5,3,4,3.8,4,4,3,3,4,3.6,1,1,1,2,3,1.6,4,4,4,3,3,4,3.6666666666666665
70,5,4,3,4,4,4.0,4,4,4,5,4,4.2,3,4,4,3,4,3.6,3,4,4,4,3,3,3.5
71,5,5,4,4,4,4.4,2,4,3,4,4,3.4,4,5,4,3,4,4.0,3,3,3,3,3,3,3.0
72,4,5,4,5,4,4.4,4,5,3,4,5,4.2,4,3,3,3,2,3.0,4,3,4,5,5,4,4.166666666666667
73,5,4,4,4,4,4.2,3,3,4,4,4,3.6,4,2,3,4,3,3.2,4,4,4,4,4,5,4.166666666666667
74,3,3,4,4,4,3.6,2,3,2,3,3,2.6,5,5,5,5,5,5.0,2,2,3,3,2,3,2.5
75,4,4,3,4,3,3.6,3,3,3,3,4,3.2,3,4,4,3,3,3.4,4,3,4,4,4,4,3.8333333333333335
76,3,3,4,4,3,3.4,3,3,3,2,2,2.6,5,4,3,3,4,3.8,3,2,2,2,2,2,2.1666666666666665
77,5,3,3,4,4,3.8,3,4,4,2,4,3.4,5,4,5,4,4,4.4,4,5,3,4,4,3,3.8333333333333335
78,3,2,3,4,4,3.2,2,4,2,2,4,2.8,1,3,2,3,2,2.2,4,4,4,3,4,4,3.8333333333333335
79,3,3,3,2,3,2.8,3,2,2,3,1,2.2,3,3,3,3,3,3.0,3,3,3,3,2,2,2.6666666666666665
80,5,3,4,3,4,3.8,3,3,4,3,4,3.4,3,4,4,3,4,3.6,2,4,3,4,3,4,3.3333333333333335
81,4,2,4,4,3,3.4,4,4,3,3,4,3.6,3,2,4,2,4,3.0,3,3,3,2,3,3,2.8333333333333335
82,1,2,3,1,2,1.8,1,3,1,2,2,1.8,4,4,4,4,3,3.8,5,4,5,4,4,3,4.166666666666667
83,4,5,4,5,5,4.6,4,4,5,5,4,4.4,3,3,2,3,4,3.0,4,3,5,4,2,4,3.6666666666666665
84,5,4,5,4,5,4.6,4,4,4,4,5,4.2,5,4,3,4,4,4.0,4,4,4,4,3,4,3.8333333333333335
85,4,4,4,3,4,3.8,5,4,4,4,4,4.2,3,3,3,2,2,2.6,4,4,4,3,4,4,3.8333333333333335
86,5,5,4,5,5,4.8,5,5,5,4,5,4.8,1,3,3,3,2,2.4,4,4,5,5,5,4,4.5
87,2,3,4,3,3,3.0,3,3,3,2,2,2.6,5,5,5,5,5,5.0,1,3,3,3,2,3,2.5
88,5,5,5,5,4,4.8,4,4,4,4,4,4.0,3,1,2,1,2,1.8,5,5,5,5,5,5,5.0
89,4,4,4,4,3,3.8,3,4,5,4,4,4.0,2,3,4,3,2,2.8,4,4,3,5,4,4,4.0
90,5,4,3,4,3,3.8,3,3,3,4,3,3.2,5,3,3,2,4,3.4,4,4,4,4,4,4,4.0
91,4,4,3,4,5,4.0,4,2,4,4,3,3.4,3,4,2,4,3,3.2,2,5,4,4,3,3,3.5
92,4,3,3,3,3,3.2,4,3,3,3,3,3.2,3,2,4,3,3,3.0,4,5,4,5,4,4,4.333333333333333
93,3,4,2,4,3,3.2,3,3,4,4,3,3.4,3,2,2,3,2,2.4,4,5,3,3,3,3,3.5
94,3,2,4,4,4,3.4,3,3,3,3,4,3.2,3,4,2,3,3,3.0,3,3,3,2,3,4,3.0
95,4,5,5,4,5,4.6,5,4,3,4,5,4.2,4,3,3,4,4,3.6,3,3,2,2,2,3,2.5
96,4,4,3,4,4,3.8,3,3,3,3,4,3.2,4,3,2,4,3,3.2,5,5,5,4,5,5,4.833333333333333
97,5,3,5,5,4,4.4,5,5,5,5,5,5.0,4,4,3,3,3,3.4,4,5,3,4,5,4,4.166666666666667
98,4,4,3,4,3,3.6,3,4,4,4,3,3.6,4,4,5,5,4,4.4,4,4,4,3,5,5,4.166666666666667
99,4,5,4,4,3,4.0,3,4,5,4,3,3.8,2,4,3,2,2,2.6,4,4,4,4,4,5,4.166666666666667
100,5,4,3,4,3,3.8,3,4,3,2,4,3.2,2,4,3,4,3,3.2,3,3,3,3,3,3,3.0
101,5,4,4,4,4,4.2,4,4,3,4,3,3.6,4,3,3,3,3,3.2,3,4,4,4,3,3,3.5
102,4,4,4,3,4,3.8,4,4,3,3,3,3.4,4,3,5,3,3,3.6,4,3,3,4,3,4,3.5
103,5,5,4,5,5,4.8,5,4,4,5,5,4.6,4,4,4,4,4,4.0,5,5,5,5,4,5,4.833333333333333
104,3,5,5,5,4,4.4,4,4,4,4,4,4.0,2,3,2,2,3,2.4,4,4,4,5,5,5,4.5
105,3,3,3,4,3,3.2,2,2,4,2,3,2.6,3,3,3,2,2,2.6,4,3,4,4,4,5,4.0
106,3,4,4,4,4,3.8,3,3,3,2,4,3.0,5,3,4,3,4,3.8,5,4,3,4,4,3,3.8333333333333335
107,4,4,4,3,4,3.8,4,3,5,5,5,4.4,3,3,3,3,2,2.8,4,4,3,5,4,3,3.8333333333333335
108,4,4,3,4,5,4.0,4,4,5,5,5,4.6,3,2,3,5,4,3.4,5,5,5,5,5,5,5.0
109,4,5,4,5,4,4.4,3,4,4,3,4,3.6,4,4,2,3,5,3.6,2,2,4,4,3,4,3.1666666666666665
110,4,5,5,4,4,4.4,5,4,5,4,4,4.4,3,3,4,3,3,3.2,5,4,4,5,4,4,4.333333333333333
111,4,4,4,4,5,4.2,4,3,3,4,4,3.6,3,2,2,2,3,2.4,4,4,3,4,3,4,3.6666666666666665
112,4,5,4,5,5,4.6,4,5,4,4,4,4.2,3,3,4,3,3,3.2,3,3,3,3,4,4,3.3333333333333335
113,4,3,3,3,4,3.4,3,3,4,3,3,3.2,4,4,3,3,3,3.4,4,4,4,4,3,3,3.6666666666666665
114,2,2,1,1,1,1.4,1,3,2,2,1,1.8,2,3,3,3,3,2.8,3,4,5,4,2,4,3.6666666666666665
115,3,4,3,2,3,3.0,3,4,3,2,4,3.2,4,4,4,4,4,4.0,3,3,3,3,3,3,3.0
116,4,5,3,4,5,4.2,3,4,3,3,4,3.4,5,4,5,4,4,4.4,4,4,4,4,4,4,4.0
117,5,5,4,4,5,4.6,4,4,4,5,4,4.2,3,4,5,3,3,3.6,4,5,3,4,4,4,4.0
118,3,4,3,4,4,3.6,2,3,3,3,2,2.6,4,3,5,3,3,3.6,3,4,3,3,3,2,3.0
119,4,4,4,3,4,3.8,3,4,4,3,5,3.8,2,2,2,3,5,2.8,5,3,4,4,4,4,4.0
120,3,3,3,4,3,3.2,3,3,4,3,3,3.2,4,3,5,4,5,4.2,3,2,3,3,3,3,2.8333333333333335
121,3,3,4,4,3,3.4,3,4,4,3,3,3.4,2,2,2,3,2,2.2,5,4,5,4,4,4,4.333333333333333
122,4,3,4,5,4,4.0,4,3,3,4,4,3.6,3,3,3,4,2,3.0,4,4,4,4,3,3,3.6666666666666665
123,4,5,5,3,3,4.0,5,4,4,4,4,4.2,2,3,3,3,2,2.6,4,4,4,4,3,3,3.6666666666666665
124,4,3,4,4,3,3.6,4,4,3,3,4,3.6,4,4,3,4,4,3.8,5,4,4,4,4,4,4.166666666666667
125,4,3,5,5,4,4.2,4,5,4,5,5,4.6,3,3,4,4,4,3.6,5,5,5,5,5,5,5.0
126,4,4,3,2,3,3.2,2,1,3,2,2,2.0,3,3,4,3,2,3.0,2,4,4,4,3,4,3.5
127,5,5,5,5,5,5.0,5,5,5,5,5,5.0,2,1,1,3,3,2.0,5,5,4,5,3,5,4.5
128,3,4,3,3,5,3.6,3,3,3,3,3,3.0,2,3,3,5,3,3.2,5,4,4,5,4,5,4.5
129,4,4,4,4,5,4.2,4,3,3,4,3,3.4,3,4,3,4,2,3.2,3,2,4,4,3,4,3.3333333333333335
130,3,3,3,4,4,3.4,4,4,3,4,3,3.6,3,2,3,4,3,3.0,4,3,3,4,3,3,3.3333333333333335
131,4,4,4,4,4,4.0,5,5,5,3,5,4.6,3,3,3,3,4,3.2,4,3,3,4,4,3,3.5
132,3,3,4,4,3,3.4,4,3,3,2,2,2.8,2,3,3,3,4,3.0,3,2,2,2,3,1,2.1666666666666665
133,3,3,3,3,3,3.0,3,2,3,4,2,2.8,3,2,2,2,3,2.4,5,4,5,4,4,5,4.5
134,3,3,4,4,3,3.4,3,3,4,3,4,3.4,3,3,3,4,3,3.2,5,5,5,5,5,5,5.0
135,4,3,4,4,3,3.6,4,4,3,4,3,3.6,4,4,3,3,3,3.4,5,5,5,5,5,5,5.0
136,4,5,5,4,5,4.6,5,4,5,5,5,4.8,3,4,3,3,2,3.0,5,4,4,4,5,5,4.5
137,5,4,4,4,4,4.2,4,4,2,4,4,3.6,3,5,3,3,4,3.6,4,3,4,4,4,4,3.8333333333333335
138,2,2,4,3,3,2.8,3,3,3,2,3,2.8,3,3,3,3,3,3.0,5,3,3,3,4,4,3.6666666666666665
139,2,2,3,3,3,2.6,3,3,3,3,2,2.8,1,2,2,4,2,2.2,4,4,4,5,4,4,4.166666666666667
140,5,5,4,5,4,4.6,4,5,3,4,4,4.0,2,4,5,4,3,3.6,5,4,4,4,5,5,4.5
141,4,4,5,3,4,4.0,3,3,3,4,3,3.2,3,3,2,3,3,2.8,4,4,4,4,4,4,4.0
142,4,3,3,3,3,3.2,2,2,4,2,3,2.6,2,2,3,3,3,2.6,3,4,4,3,5,4,3.8333333333333335
143,3,3,3,3,3,3.0,3,2,3,4,4,3.2,3,4,3,5,3,3.6,5,4,4,4,4,4,4.166666666666667
144,4,5,3,4,4,4.0,3,4,3,2,4,3.2,3,4,5,4,4,4.0,3,3,3,4,4,3,3.3333333333333335
145,3,3,3,3,3,3.0,3,3,2,2,3,2.6,3,2,3,2,2,2.4,4,4,2,3,4,3,3.3333333333333335
146,5,4,5,5,5,4.8,5,5,4,5,5,4.8,4,3,4,2,4,3.4,5,5,4,5,4,5,4.666666666666667
147,2,2,3,3,3,2.6,2,3,3,3,3,2.8,2,4,3,4,2,3.0,5,5,5,5,4,4,4.666666666666667
148,4,2,4,3,3,3.2,3,2,3,3,3,2.8,3,2,3,3,2,2.6,5,4,4,5,4,5,4.5
149,2,3,2,3,2,2.4,2,2,3,3,3,2.6,4,4,3,4,5,4.0,3,3,3,2,3,4,3.0
150,4,4,5,4,4,4.2,4,4,3,3,3,3.4,2,2,4,2,3,2.6,5,5,4,4,4,5,4.5
151,4,5,4,4,4,4.2,5,4,3,4,3,3.8,4,4,2,3,2,3.0,3,4,4,2,3,3,3.1666666666666665
152,3,4,3,5,4,3.8,5,4,4,4,4,4.2,4,1,2,2,2,2.2,4,4,5,3,4,4,4.0
153,5,4,4,5,5,4.6,4,4,4,4,4,4.0,4,4,3,2,1,2.8,5,5,5,5,5,5,5.0
154,4,5,4,5,4,4.4,5,4,4,4,5,4.4,3,3,2,3,3,2.8,5,5,5,5,4,5,4.833333333333333
155,3,2,3,3,3,2.8,3,3,3,3,3,3.0,4,3,3,4,3,3.4,4,4,4,3,3,3,3.5
156,3,5,4,4,4,4.0,4,4,4,3,3,3.6,4,4,2,2,2,2.8,4,3,3,4,3,4,3.5
157,3,3,3,4,3,3.2,3,4,2,4,3,3.2,3,4,4,4,4,3.8,4,3,3,4,3,3,3.3333333333333335
158,5,5,5,5,5,5.0,5,5,5,5,5,5.0,4,4,4,4,5,4.2,4,4,3,4,2,4,3.5
159,4,3,4,4,4,3.8,4,3,5,5,5,4.4,4,4,4,5,5,4.4,4,4,4,4,4,4,4.0
160,4,4,5,3,4,4.0,3,4,4,3,4,3.6,3,4,2,3,3,3.0,3,4,3,3,5,3,3.5
161,4,4,5,3,5,4.2,4,5,5,4,5,4.6,1,3,2,2,2,2.0,4,4,4,4,4,4,4.0
162,5,4,4,5,4,4.4,3,4,4,3,4,3.6,2,2,4,3,2,2.6,3,4,4,4,4,5,4.0
163,4,3,4,4,3,3.6,4,4,4,4,4,4.0,4,4,3,3,3,3.4,4,3,3,3,4,4,3.5
164,3,3,3,4,2,3.0,3,3,3,3,2,2.8,3,3,3,4,3,3.2,3,3,2,3,2,2,2.5
165,5,4,4,5,5,4.6,4,4,4,5,5,4.4,1,3,3,4,2,2.6,4,4,4,4,4,3,3.8333333333333335
166,5,4,4,5,5,4.6,4,5,5,5,4,4.6,3,3,3,4,4,3.4,5,4,4,5,5,5,4.666666666666667
167,4,4,4,3,4,3.8,5,4,4,4,3,4.0,5,4,4,4,4,4.2,5,4,4,4,3,4,4.0
168,5,4,5,4,5,4.6,4,5,4,5,4,4.4,4,3,4,5,3,3.8,3,3,4,2,3,3,3.0
169,4,5,5,4,5,4.6,4,5,5,4,5,4.6,4,3,3,3,4,3.4,4,4,4,3,3,4,3.6666666666666665
170,2,2,3,2,3,2.4,1,2,1,1,2,1.4,3,4,3,3,3,3.2,4,3,2,3,4,3,3.1666666666666665
171,3,3,3,3,4,3.2,2,2,3,2,3,2.4,3,3,3,4,4,3.4,4,3,3,4,3,3,3.3333333333333335
172,4,5,5,3,4,4.2,4,5,4,5,4,4.4,3,3,3,3,4,3.2,3,4,4,4,5,4,4.0
173,3,4,4,4,4,3.8,4,4,4,4,4,4.0,3,3,4,4,3,3.4,4,5,4,3,3,4,3.8333333333333335
174,4,3,4,3,5,3.8,3,3,3,3,3,3.0,5,5,5,5,5,5.0,3,3,4,4,4,2,3.3333333333333335
175,5,5,4,5,5,4.8,4,5,5,5,5,4.8,4,4,3,2,3,3.2,5,5,4,5,5,5,4.833333333333333
176,3,2,3,2,4,2.8,2,2,3,2,3,2.4,3,3,4,4,4,3.6,5,5,3,4,4,4,4.166666666666667
177,4,3,2,3,4,3.2,3,4,3,2,3,3.0,3,4,5,5,4,4.2,4,4,4,4,3,4,3.8333333333333335
178,4,4,3,4,4,3.8,3,5,4,2,4,3.6,3,4,3,2,3,3.0,5,4,5,4,4,4,4.333333333333333
179,3,4,5,4,3,3.8,5,5,5,3,5,4.6,3,3,3,2,2,2.6,3,4,4,4,5,5,4.166666666666667
180,4,4,4,4,4,4.0,4,4,4,4,4,4.0,3,2,2,2,3,2.4,5,5,5,5,5,5,5.0
181,3,4,3,3,4,3.4,4,3,3,2,3,3.0,4,3,4,3,4,3.6,5,4,5,5,5,5,4.833333333333333
182,3,4,4,4,4,3.8,3,4,5,4,3,3.8,2,3,3,3,2,2.6,5,5,4,5,5,4,4.666666666666667
183,4,4,5,5,5,4.6,3,4,5,4,4,4.0,4,4,3,3,3,3.4,5,4,5,4,4,4,4.333333333333333
184,3,4,4,4,3,3.6,4,4,3,3,3,3.4,4,3,3,3,2,3.0,3,4,4,3,3,3,3.3333333333333335
185,2,4,4,4,3,3.4,3,3,3,3,3,3.0,3,3,3,4,3,3.2,5,5,4,4,5,5,4.666666666666667
186,3,4,4,3,3,3.4,2,3,2,1,1,1.8,3,1,3,3,3,2.6,5,3,4,4,4,5,4.166666666666667
187,4,4,3,4,4,3.8,3,4,4,4,5,4.0,3,3,2,2,3,2.6,3,3,3,4,4,4,3.5
188,4,4,4,5,4,4.2,3,4,4,3,4,3.6,4,3,2,3,4,3.2,4,3,4,4,4,3,3.6666666666666665
189,4,4,5,3,3,3.8,3,5,4,5,4,4.2,3,1,1,1,2,1.6,4,4,5,3,4,4,4.0
190,3,4,3,4,5,3.8,5,4,4,4,4,4.2,1,3,3,3,2,2.4,5,5,5,4,5,5,4.833333333333333
191,3,3,3,3,3,3.0,3,2,3,2,4,2.8,3,3,2,4,3,3.0,2,3,4,3,3,4,3.1666666666666665
192,4,4,5,4,3,4.0,4,4,3,4,3,3.6,5,2,5,5,4,4.2,3,3,3,4,3,3,3.1666666666666665
193,5,4,5,5,4,4.6,4,4,5,4,5,4.4,2,2,1,2,1,1.6,4,5,5,3,4,4,4.166666666666667
194,3,3,4,3,3,3.2,3,4,3,4,3,3.4,2,3,3,2,2,2.4,5,4,4,4,4,4,4.166666666666667
195,5,4,4,4,4,4.2,4,3,5,4,4,4.0,2,3,2,3,3,2.6,5,5,4,5,4,5,4.666666666666667
196,3,4,5,5,3,4.0,4,4,5,3,4,4.0,3,3,2,3,2,2.6,3,2,3,4,3,3,3.0
197,4,5,3,4,3,3.8,3,2,4,3,4,3.2,4,3,3,3,2,3.0,3,5,3,4,4,3,3.6666666666666665
198,5,4,5,4,5,4.6,5,4,4,4,5,4.4,3,4,3,3,3,3.2,5,5,5,5,5,4,4.833333333333333
199,4,3,3,2,3,3.0,3,3,4,3,2,3.0,4,5,4,3,5,4.2,4,4,5,5,5,5,4.666666666666667
200,3,2,3,3,3,2.8,2,4,3,2,3,2.8,1,3,4,3,1,2.4,4,3,3,4,3,3,3.3333333333333335
201,4,5,5,4,5,4.6,4,5,4,4,4,4.2,3,4,4,3,3,3.4,3,3,4,4,3,4,3.5
202,2,3,3,3,3,2.8,2,3,2,3,3,2.6,3,3,4,4,3,3.4,3,4,4,4,4,5,4.0
203,3,4,4,2,5,3.6,4,4,4,3,4,3.8,2,2,3,2,3,2.4,4,4,4,4,3,4,3.8333333333333335
204,2,3,4,3,3,3.0,4,3,3,3,4,3.4,4,3,3,4,4,3.6,4,4,4,4,4,4,4.0
205,3,5,3,5,4,4.0,3,4,4,4,4,3.8,4,3,3,2,2,2.8,4,4,3,3,4,4,3.6666666666666665
206,3,3,3,4,4,3.4,4,3,3,3,3,3.2,2,3,3,1,2,2.2,4,5,4,5,5,5,4.666666666666667
207,4,5,4,5,4,4.4,4,4,4,4,4,4.0,4,3,2,4,3,3.2,5,4,4,5,5,5,4.666666666666667
208,5,4,3,3,3,3.6,4,4,5,4,3,4.0,5,5,4,4,5,4.6,3,3,2,3,3,2,2.6666666666666665
209,4,5,4,3,4,4.0,4,4,4,5,4,4.2,4,4,4,3,4,3.8,5,5,4,5,5,5,4.833333333333333
210,3,3,3,3,5,3.4,4,4,3,4,4,3.8,1,2,1,1,2,1.4,4,3,4,4,4,4,3.8333333333333335
211,3,3,2,3,3,2.8,2,2,1,2,3,2.0,3,2,3,5,4,3.4,2,2,1,3,2,2,2.0
212,3,4,3,4,4,3.6,3,3,4,3,3,3.2,2,2,3,3,2,2.4,3,3,2,3,4,4,3.1666666666666665
213,4,4,4,4,4,4.0,4,3,3,4,4,3.6,3,3,3,3,3,3.0,5,5,4,5,5,5,4.833333333333333
