AI1,AI2,AI3,AI4,AI5,TC1,TC2,TC3,TC4,TC5,PC1,PC2,PC3,PC4,PC5,PS1,PS2,PS3,PS4,PS5,PS6,AI,TC,PC,PS,AI_c,PC_c,AIxPC
3.0198154120,4.7144292786,4.2003887392,4.4147263304,3.5285742577,3.0312143840,3.4444803561,3.4689392550,3.3610596495,3.4561223311,4.9351466703,2.5933884780,3.1436963217,4.3852987678,3.4635526534,4.7832222756,5.0143002026,4.9044923496,4.2027903651,4.6533113010,5.5449328212,3.9755868036,3.3523631951,3.7042165782,4.8505082192,0.1855868036,0.5142165782,0.0954318111
3.2692155304,3.6052296988,4.1995293837,3.7823831083,3.6657917665,3.0083120922,3.7430330778,2.9928837424,3.9182052949,2.6681647301,2.7067584452,4.7845558086,3.5605076215,4.1368707156,2.5951669578,5.0328208517,4.6404566445,4.7006701838,4.3112416498,5.0179276047,4.8731958528,3.7044298975,3.2661197875,3.5567719097,4.7627187979,-0.0855701025,0.3667719097,-0.0313847099
3.8979961170,2.8950962655,2.2401630709,3.6283496914,2.6646032332,3.1716428914,4.4185637034,2.2354037263,2.9363031509,2.9770384348,2.5830989545,4.4197022278,3.5298788980,3.3673362566,1.6663217204,3.7128064010,3.6753896187,3.8552084360,3.0215365541,3.1457201921,3.7434382152,3.0652416756,3.1477903814,3.1132676115,3.5256832362,-0.7247583244,-0.0767323885,0.0556124373
4.7607103982,5.2935152489,4.1523144481,4.3155627735,3.8461000587,4.0883582627,4.1580213033,3.1959392615,4.0402108803,3.0757316514,4.5448446588,4.4784234981,3.9701066296,2.8437648085,3.8385935407,4.5260940228,3.0760575369,3.9630216921,3.8892901338,3.9539056050,4.1950615877,4.4736405855,3.7116522719,3.9351466272,3.9339050964,0.6836405855,0.7451466272,0.5094124764
4.0661638450,3.6548821744,3.0326994839,3.9519702579,4.6715871515,2.4341331321,3.6033417116,4.2974195031,3.7518138781,3.0450388020,4.0458383875,3.2613757423,4.1357046457,2.9622322082,4.9809533856,3.5160983065,3.2855015850,3.6043309727,4.1462782246,3.5318817562,3.5749673911,3.8754605826,3.4263494054,3.8772208739,3.6098430394,0.0854605826,0.6872208739,0.0587302962
2.6081598883,3.4816891352,2.9459890021,2.2662343524,4.1544212955,2.9727816173,3.3649479013,2.2508982234,3.1243333143,2.8669923332,2.9414676874,2.7425259223,1.5648820668,2.4378660985,1.8682195242,4.4596999906,3.7421399496,3.6074102422,3.6231848530,4.3454442468,3.5832059339,3.0912987347,2.9159906779,2.3109922598,3.8935142027,-0.6987012653,-0.8790077402,0.6141638202
5.0793138410,4.8885258521,4.3672174458,3.7326207820,5.3331856846,4.5594465545,4.7021224524,3.6282159638,4.6640062283,3.9410293761,2.4982054545,2.2062325107,1.9370096991,2.7688547806,1.9792777458,3.7589331794,2.9748898508,4.5976430534,4.1350655587,4.6203479235,4.2758071620,4.6801727211,4.2989641150,2.2779160381,4.0604477880,0.8901727211,-0.9120839619,-0.8119122622
3.1295084260,4.6055233613,3.1207357470,3.3350450671,3.4559576322,2.4021196225,3.3924515655,3.3551689506,3.1453095710,3.5121639438,3.4498000137,2.4354131275,2.3017079570,3.5273273243,2.9009350079,2.6230114110,2.7214125979,3.5571411634,4.0668753523,4.4184193887,3.2309720014,3.5293540467,3.1614427307,2.9230366861,3.4363053191,-0.2606459533,-0.2669633139,0.0695829074
4.3149441171,4.7095085161,4.4206395936,4.5455659678,4.1247386853,4.7190074062,4.6776606396,4.5074242909,3.7761206839,3.4411837008,5.1493272486,3.4731336866,2.5293037610,4.4289204175,4.2954833400,5.0049948420,4.1742162602,4.5780558752,4.1153683348,3.8321116732,4.5598820745,4.4230793760,4.2242793443,3.9752336907,4.3774381766,0.6330793760,0.7852336907,0.4971152549
4.5177197608,3.6896797522,3.4524680558,3.6988411569,3.0850285588,2.6693698083,4.1036990867,3.6064155690,4.2592399980,3.8328758937,1.4132358767,2.9854319560,2.8828011995,3.2960266611,2.1739756762,4.2425094911,3.4447157370,4.2348008657,5.0024227846,4.9375020633,3.3594132428,3.6887474569,3.6943200711,2.5502942739,4.2035606974,-0.1012525431,-0.6397057261,0.0647718316
3.3597880533,3.7439251975,3.7609806521,4.6377300550,3.5798977340,3.1911515602,3.2504357349,3.7595163558,3.4231246211,3.5638276463,2.8695975498,1.8277873560,3.3716216561,2.4977576242,3.1412900459,3.0333573595,4.6811263951,3.6141520635,3.6520415128,3.0195278276,4.8854256979,3.8164643384,3.4376111836,2.7416108464,3.8142718094,0.0264643384,-0.4483891536,-0.0118663223
4.7878519247,4.0163256433,5.3033551216,4.4334703160,5.7359332958,5.4965763458,4.1663019653,4.9115071928,4.9784377323,4.7785746279,3.6523421863,3.5672174378,4.1971438616,2.6304079891,3.9538797809,4.3373089275,3.4056605536,4.8255382652,4.0986363840,3.6004779117,4.2081675446,4.8553872603,4.8662795728,3.6001982511,4.0792982644,1.0653872603,0.4101982511,0.4370199909
2.6225953469,4.4682828352,3.5217320957,3.5178677936,2.9863047933,3.5832242511,2.0905890302,3.6727408223,3.3475523752,3.4884158431,5.0010473990,4.5855202859,3.7415860708,4.6264837161,4.4301247930,3.1445302180,4.1376007285,4.5521697151,4.4453835704,4.4177618024,4.2693640669,3.4233565729,3.2365044644,4.4769524530,4.1611350169,-0.3666434271,1.2869524530,-0.4718526578
3.2262656758,3.5684736222,2.1039575735,3.0052253753,2.4524089314,3.7720911504,2.7829384653,2.8934778926,2.6779965607,1.9491820889,2.4641174693,3.5078504112,3.2181050667,4.6410259567,3.4136771403,4.5874555982,4.1779486395,4.4204631202,4.5815138749,4.1212465797,3.6929216022,2.8712662356,2.8151372316,3.4489552089,4.2635915691,-0.9187337644,0.2589552089,-0.2379108938
3.1942442188,3.1906335932,2.3035766156,1.9503987386,2.9164885525,1.9351511350,2.1463876061,2.6227957389,2.6237528308,2.8111854770,4.9129969172,4.7883490207,4.4527325631,4.1623349137,5.2440491193,3.4262841613,3.2092909389,3.2154244195,2.7968252722,2.4464768332,3.5950120007,2.7110683438,2.4278545576,4.7120925068,3.1148856043,-1.0789316562,1.5220925068,-1.6422337894
4.2047241248,3.0551070729,3.7273948074,4.1108941515,3.3756634422,4.3740769891,4.4949130364,3.8911080550,4.5188801539,3.7659533187,2.7481350220,3.6030268185,2.8944509849,2.6276115739,2.1821519002,3.3898747433,4.7299455039,4.1087578580,4.4109553030,3.8253153668,4.6219997144,3.6947567198,4.2089863106,2.8110752599,4.1811414149,-0.0952432802,-0.3789247401,0.0360900352
3.6771723745,4.1464974792,4.8266569999,4.3612574736,5.1191819869,3.6321020563,3.1126189760,4.6158097062,4.0567042517,4.3713278228,3.9653403091,3.0607287448,1.8238622019,3.5495342016,2.7695234113,3.5866184881,4.5241466075,2.5654399675,3.2464653078,3.3340761914,3.5115939708,4.4261532628,3.9577125626,3.0337977737,3.4613900889,0.6361532628,-0.1562022263,-0.0993685559
1.5254724835,3.6375241027,2.4404944625,1.8400573739,3.0671657404,2.4940592505,3.0094347678,2.3810551407,2.3099697428,2.9342332334,3.2414467707,3.7038288160,3.2339645393,2.8183292729,3.5656760183,2.4031676773,3.3023103587,3.8154328890,2.8094514476,2.7764724831,3.9383195583,2.5021428326,2.6257504270,3.3126490834,3.1741924024,-1.2878571674,0.1226490834,-0.1579545012
4.7310372962,4.5924496118,4.7150806416,3.5016429148,5.4146946626,4.3000416396,5.1009385327,4.1591986813,3.5338868589,4.8264699117,2.5980535292,1.5506292061,1.7900102266,2.1442559037,2.8413816522,4.0694173516,4.8178263390,4.1523268624,4.9573214074,4.6506777839,5.7365340610,4.5909810254,4.3841071248,2.1848661036,4.7306839675,0.8009810254,-1.0051338964,-0.8050931791
3.5619454179,3.3999969598,3.0382896042,4.5288121714,3.6264313230,3.0008975113,2.2536621650,3.6250152461,3.1242797648,3.6601939567,2.2736684277,2.7702038118,1.8602861927,2.1162511097,1.9751772464,4.6818678815,4.9377476130,4.4194089755,4.5441690371,5.0208570535,5.4393201151,3.6310950953,3.1328097288,2.1991173576,4.8405617793,-0.1589049047,-0.9908826424,0.1574561119
2.8856016801,3.5894716493,2.7998413464,2.8067246883,3.6372291754,3.5518584184,2.6716917513,3.6121699549,3.3181655121,3.4413922152,4.3151818246,4.8765558005,4.5618682572,5.0407927974,5.0188653146,3.5583902478,3.4561752231,3.2017462697,3.2265917586,3.1497565624,3.1221427645,3.1437737079,3.3190555704,4.7626527989,3.2858004710,-0.6462262921,1.5726527989,-1.0162895870
5.1182022341,5.0550159400,5.0577464328,4.7068136600,4.1622335191,4.6736841406,4.4412637098,4.2900996897,3.9695238296,5.1323042688,4.9010084181,3.1753206807,3.7402345434,2.5641608242,3.4014154922,3.3112154222,4.0760060300,3.8224183227,4.2661129098,3.2963573760,3.8326727556,4.8200023572,4.5013751277,3.5564279917,3.7674638027,1.0300023572,0.3664279917,0.3774216952
2.0898176946,3.1600420577,1.9692277551,2.7377412141,1.7428066558,2.3724584131,1.7364425683,1.6880201087,1.6198575582,1.6288587544,3.7975703397,3.5203431921,4.4130754298,4.5291225451,4.5162904269,3.2864213739,3.1220227487,2.9818617436,4.3242560489,3.8020894656,2.8268017297,2.3399270755,1.8091274805,4.1552803867,3.3905755184,-1.4500729245,0.9652803867,-1.3997269534
4.2075638392,3.6209252286,4.1613790829,3.7339981402,3.0266930696,1.8505582899,2.7997689733,3.7243597330,3.2022360033,3.6706613586,2.7882023063,1.5184861799,1.5311743983,2.2110306267,2.7556966288,4.3470441380,4.2542507087,4.9425005465,4.4133745193,4.4969678466,4.6737987852,3.7501118721,3.0495168716,2.1609180280,4.5213227574,-0.0398881279,-1.0290819720,0.0410481533
4.4102011713,5.1441815367,4.2213324896,4.2897816017,4.3428894049,3.3209622482,2.5276992588,3.8497258591,4.2302938125,3.8554848335,1.8613647455,4.1725283065,1.4679385972,2.6649326303,2.9928795248,5.4145987874,4.3518304252,4.5852909310,5.0778451029,4.3714209019,4.3735638040,4.4816772408,3.5568332024,2.6319287608,4.6957583254,0.6916772408,-0.5580712392,-0.3860051749
4.0058340123,4.7461737262,4.3636881172,4.1273145985,3.6108126174,3.3426433995,4.4343434557,4.9871779444,3.8584590963,4.3823516951,3.1658724640,4.1443061385,3.8935063197,4.0795487272,3.5323359675,2.6081620998,2.9550578363,5.4335486506,3.0962833660,3.0402727633,2.9356477758,4.1707646143,4.2009951182,3.7631139234,3.3448287486,0.3807646143,0.5731139234,0.2182215020
4.5090295938,3.5929372288,3.4873153799,2.9531575111,4.0173206513,2.8528892867,4.1033446207,2.6190367191,3.5413659444,2.1104424790,2.6616006349,2.8701243144,2.9279798246,2.4931083378,2.1936630323,4.6028796803,3.7128248127,3.9346672306,3.6651399221,4.1258017444,4.1611416927,3.7119520730,3.0454158100,2.6292952288,4.0337425138,-0.0780479270,-0.5607047712,0.0437618451
4.5035635675,4.3769997663,3.4485174374,3.4652803165,4.1912855063,3.7853355039,4.7445043281,3.1567234078,4.6169814865,4.4932538446,3.1799283996,3.7783979543,2.4008910986,3.5804098122,2.7209367144,4.3764158796,3.2845429552,4.6122697763,5.3346453237,3.3431380517,3.6794716879,3.9971293188,4.1593597142,3.1321127958,4.1050806124,0.2071293188,-0.0578872042,-0.0119901372
4.1010536818,2.7313840120,3.2511725627,3.9141257225,3.6332778328,4.2422140926,4.6728992383,4.0252029501,4.2137433685,3.3444770112,2.8096598096,1.1555840707,2.6142022400,2.3836063664,2.8530848825,4.5053580286,3.9642860024,4.3096483685,4.6139015529,3.1722882721,3.8913126355,3.5262027624,4.0997073321,2.3632274739,4.0761324767,-0.2637972376,-0.8267725261,0.2181003086
4.2496879084,3.0921387015,4.2981743314,4.5496380856,4.3944147255,3.4819485338,4.1079139200,2.9727986895,4.0822771683,4.6069036360,2.7479666747,3.3494238075,4.1683908354,4.8639483286,3.5312040941,3.6985230113,3.3584812018,3.0939992296,3.4268197737,3.8478556085,3.6269223645,4.1168107505,3.8503683895,3.7321867481,3.5087668649,0.3268107505,0.5421867481,0.1771924580
3.7271875403,3.2412556737,4.3461985141,4.6650622623,4.0046359201,3.1858747038,3.1276454222,3.7973542599,3.9470428892,2.8559599544,2.3632265324,2.9561039224,2.2098293643,1.8794756363,2.8522307637,4.7636775230,4.3046579395,3.7382600488,3.3128536644,4.6067983351,4.2274320476,3.9968679821,3.3827754459,2.4521732438,4.1589465931,0.2068679821,-0.7378267562,-0.1526327322
3.6745037135,3.9930719706,2.9835806229,3.4056704388,3.7403984837,3.4265397038,3.8221397017,3.5896589229,3.8465428972,3.7082621099,2.5479715987,2.8931759281,2.7194793687,3.3499465327,2.3250568857,5.5269112248,5.2512642880,5.6444360323,5.1885181476,5.3547647950,6.0122014323,3.5594450459,3.6786286671,2.7671260628,5.4963493200,-0.2305549541,-0.4228739372,0.0974956812
3.3743584805,4.5950511831,4.2093363785,4.5733914539,3.3202678202,4.1226094860,3.8195785805,4.6894853586,3.8019131213,4.1193142476,3.4393694169,3.2771038214,2.7776025468,4.7200316410,4.0826558349,2.9997534662,3.1604568944,4.1163706616,3.4164676788,4.3105513625,3.4415622494,4.0144810632,4.1105801588,3.6593526522,3.5741937188,0.2244810632,0.4693526522,0.1053607824
4.0171817145,3.3064853729,4.0292972628,3.2656841398,4.0061745729,3.2837387469,3.5000265123,2.9044463254,3.5154141352,4.0948042552,1.9948488935,3.6429850678,3.6367845446,2.7633315194,4.3257648842,3.6684493358,4.4932886381,4.1445927084,4.2952651299,4.6772270319,4.7820526789,3.7249646126,3.4596859950,3.2727429819,4.3434792538,-0.0650353874,0.0827429819,-0.0053812219
5.5404510020,3.6739191612,4.3339268260,4.3823815676,4.7819082713,4.7731121165,4.6300828509,4.3706012700,4.2385748081,4.5132134169,2.0477580018,2.9799553936,2.2964086995,2.8747982769,2.6722552103,5.8747841642,5.2892591306,4.0977607796,4.1011392634,5.1043358419,4.0879971172,4.5425173656,4.5051168925,2.5742351164,4.7592127161,0.7525173656,-0.6157648836,-0.4633737680
4.5435203407,4.5864643746,3.3438186655,3.8455602224,3.3285021505,3.8378294607,4.3498621601,4.2491600995,3.3713876759,4.8714418628,2.1615860196,2.0370344262,3.6160960073,1.7717987225,2.2960228130,1.9077375739,2.3200269111,2.3461462412,2.7201949856,2.6413770926,1.9006467001,3.9295731508,4.1359362518,2.3765075977,2.3060215841,0.1395731508,-0.8134924023,-0.1135416977
2.9533292282,4.3593738308,3.4446785527,2.8992933665,3.3941854860,3.6985298527,4.3338660831,3.2005670921,3.3010005476,4.6065075735,3.9681571781,4.1823364940,4.2333102106,4.4445127795,5.5215653425,5.7647643093,4.4115932357,5.7468127295,4.8183519392,5.5912762490,4.6767804115,3.4101720929,3.8280942298,4.4699764010,5.1682631457,-0.3798279071,1.2799764010,-0.4861707576
3.5231419475,2.4389919429,2.7407496451,2.4054851775,2.3800473858,2.7399635056,2.5270968672,3.1107340333,2.8986291489,2.0007521179,3.3108205475,1.8895313195,3.5526128930,3.9048545311,2.2423103071,3.4648648412,1.9244635966,3.3471925003,3.4780445727,3.2726133148,4.6236281224,2.6976832198,2.6554351346,2.9800259196,3.3518011580,-1.0923167802,-0.2099740804,0.2293582114
4.5553952535,5.0649736111,3.9028253865,5.2467967525,3.7931788306,3.3884493698,4.4810657701,3.2801302188,4.6429070694,4.1978326847,3.8080974030,3.5895839205,2.7651005934,3.5577387310,3.1524044940,3.8934782775,3.4697630844,4.1761802219,4.6427237072,3.5027483711,3.0567414372,4.5126339668,3.9980770226,3.3745850284,3.7902725166,0.7226339668,0.1845850284,0.1333874113
4.7979095575,3.8174035151,4.8205983908,3.0704102105,4.1815075598,3.7117273787,4.1149113421,3.8920251669,3.8622947707,4.7309445767,3.3069454110,4.0614138558,2.1324206655,3.9837064259,2.6349397967,5.3994711573,5.1228594362,5.3274719130,5.3813918674,4.7518488768,4.2103664814,4.1375658467,4.0623806470,3.2238852310,5.0322349554,0.3475658467,0.0338852310,0.0117773490
4.5768786852,3.4574913208,3.3728012074,3.9185071980,3.5783436584,4.0381032786,4.0043487773,3.2840542001,4.2578874774,4.1553419145,3.7590231418,2.0005873691,3.5074474799,3.4466154027,2.9309913262,6.0346153357,4.3910816432,4.8625982546,5.2725936497,4.5222152488,4.9265351393,3.7808044140,3.9479471296,3.1289329439,5.0016065452,-0.0091955860,-0.0610670561,0.0005615474
3.5194109580,2.5960516510,2.7970342996,2.9432569157,3.9570811320,2.6499212803,2.6853087314,3.5596926647,2.9194970485,1.9317979316,2.6740985166,3.2849804091,2.8258558453,4.1887809644,2.6017640074,3.5158516702,2.4170769061,3.5155944395,2.9146493019,3.6752095543,2.7207600974,3.1625669912,2.7492435313,3.1150959486,3.1265236616,-0.6274330088,-0.0749040514,0.0469972744
4.1498174083,3.9788080443,3.5508305957,3.7221823953,2.3781039214,3.4645454800,2.4278937461,3.0261281623,3.2210475279,3.0541781226,2.3479821250,2.2378078127,2.4368166031,3.1988132191,3.5419299918,2.9039717569,3.5940940074,3.3883897047,4.0301037802,2.5584934825,3.8644108292,3.5559484730,3.0387586078,2.7526699503,3.3899105935,-0.2340515270,-0.4373300497,0.1023577659
4.6836998167,4.1863675261,4.8329366727,4.7503023875,4.4422667322,3.9599888627,3.7106043991,4.8087022731,3.3318692228,4.4590163132,3.7354088313,3.7510624356,4.5041106972,3.4698193591,3.8509310618,3.5135310478,2.8786937603,2.8707408094,3.5041722414,3.2412711646,3.7109834332,4.5791146270,4.0540362142,3.8622664770,3.2865654094,0.7891146270,0.6722664770,0.5304953103
5.0759612477,5.1204256608,4.3710825986,5.4366843795,5.2393817783,4.8571754778,4.6125061130,4.1467898527,5.1561770329,4.8045019723,4.7301438499,3.7341677814,4.0179412754,4.1374386198,4.3209267640,3.5256170125,5.0138079121,3.8731312642,4.4764639795,4.8025518083,3.9855556248,5.0487071329,4.7154300898,4.1881236581,4.2795212669,1.2587071329,0.9981236581,1.2563453680
3.5746656169,3.8964123875,4.4059037313,4.3362206162,4.2207338465,3.8042427256,4.1192953996,3.3487285336,3.1572911955,3.9674205632,3.7319701622,3.0239320210,2.6381992897,1.9319960806,3.4668206966,4.2847771080,3.6540119605,4.7820654061,4.6404467166,3.8768143387,4.6521982030,4.0867872397,3.6793956835,2.9585836500,4.3150522888,0.2967872397,-0.2314163500,-0.0686814197
3.3924384925,4.5589406696,4.2600637324,2.0956878810,3.7336440705,3.1126255565,3.5642877505,3.4880198105,2.6507041504,3.4596607877,3.1252509843,2.7937939132,2.8195869624,3.5918998214,3.7210921337,4.9241121990,4.9313461757,4.4561469171,4.3233299037,3.6232687672,3.7353549496,3.6081549692,3.2550596111,3.2103247630,4.3322598187,-0.1818450308,0.0203247630,-0.0036959572
1.7108459071,3.5840500984,3.5958548378,3.0476839289,2.9938543946,3.1975266171,2.8232272585,3.4550810987,3.2945001113,3.1584055339,2.8478998625,3.2844482217,1.7112742869,1.8982937252,3.1098051250,4.1141557439,4.0345304202,4.0549435938,3.7215607481,2.8534038112,3.3590215158,2.9864578334,3.1857481239,2.5703442442,3.6896026388,-0.8035421666,-0.6196557558,0.4979195285
4.6298306032,4.7857721665,4.4772960755,3.5026235960,4.0075650318,3.4100003510,3.6722618287,4.7763768608,3.6920684658,3.3908762489,3.0733712079,2.0864728355,3.5073384336,3.2198340094,3.3343841996,3.3022076656,3.8394992240,3.6390359717,3.5838176918,4.2811134699,4.6425581732,4.2806174946,3.7883167510,3.0442801372,3.8813720327,0.4906174946,-0.1457198628,-0.0714927140
3.3527726954,2.8254183722,2.7564747417,3.5047573898,2.5825201509,2.9119282329,3.0528437316,3.9841999683,2.4594920308,2.7879390457,5.2069779853,2.5537131976,3.4697866954,2.9764817406,3.9495414226,3.7575152780,3.0200193784,3.4553110651,3.7021596162,2.1279048651,3.2906070743,3.0043886700,3.0392806018,3.6313002083,3.2255862129,-0.7856113300,0.4413002083,-0.3466904436
3.7942144343,3.7497519996,5.2897048909,3.9921315925,5.1645946022,5.1964090602,4.7656057175,4.1819129627,3.6682163941,4.0336609391,4.6193919453,3.9194778137,2.8230434593,3.1800767609,4.2709752072,3.0263251264,2.6296546497,3.7119325743,3.2479080447,4.8699977836,3.3430120294,4.3980795039,4.3691610147,3.7625930373,3.4714717014,0.6080795039,0.5725930373,0.3481820900
