AI_1,AI_2,AI_3,AI_4,AI_5,AI_mean,TC_1,TC_2,TC_3,TC_4,TC_5,TC_mean,PC_1,PC_2,PC_3,PC_4,PC_5,PC_mean,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_mean
4,4,4,4,4,4.0,3,4,3,4,4,3.6,2,2,3,2,3,2.4,4,4,3,4,4,3,3.6666666666666665
2,4,3,2,3,2.8,2,3,3,3,3,2.8,3,4,3,3,4,3.4,4,4,4,4,4,4,4.0
5,5,4,5,5,4.8,5,4,5,5,5,4.8,3,3,3,4,3,3.2,5,5,5,5,5,5,5.0
3,4,4,3,3,3.4,3,3,3,3,3,3.0,5,5,5,4,4,4.6,5,5,5,5,5,5,5.0
5,5,5,4,5,4.8,5,5,5,5,4,4.8,4,3,3,3,3,3.2,4,5,3,3,4,4,3.8333333333333335
4,5,2,4,4,3.8,4,3,3,4,3,3.4,1,2,3,2,3,2.2,4,4,4,3,4,5,4.0
4,3,2,3,3,3.0,3,3,2,3,3,2.8,3,4,4,4,4,3.8,3,3,3,3,3,3,3.0
3,3,3,2,3,2.8,3,3,3,3,3,3.0,4,4,4,3,2,3.4,4,2,3,3,3,3,3.0
5,5,4,5,4,4.6,5,5,4,5,4,4.6,2,3,3,3,3,2.8,3,3,3,3,3,3,3.0
2,2,3,2,3,2.4,1,2,2,3,3,2.2,4,3,3,4,4,3.6,3,3,3,3,2,2,2.6666666666666665
3,4,3,4,4,3.6,4,3,2,3,5,3.4,4,5,4,4,3,4.0,3,3,2,2,2,3,2.5
4,3,4,4,4,3.8,5,4,4,3,4,4.0,3,4,2,2,4,3.0,4,4,4,5,5,5,4.5
2,2,3,2,2,2.2,2,2,2,2,2,2.0,3,1,3,4,3,2.8,3,4,4,4,4,3,3.6666666666666665
5,5,5,5,5,5.0,5,5,5,5,5,5.0,3,5,3,4,3,3.6,4,4,5,5,5,5,4.666666666666667
3,4,4,3,3,3.4,5,3,4,4,3,3.8,2,2,3,2,3,2.4,5,5,5,4,5,3,4.5
3,4,3,4,4,3.6,3,3,4,4,4,3.6,2,4,3,3,5,3.4,3,4,4,3,3,3,3.3333333333333335
4,4,4,5,3,4.0,4,3,4,3,3,3.4,3,4,5,4,5,4.2,3,3,4,3,2,3,3.0
4,3,3,4,4,3.6,3,4,3,4,4,3.6,3,3,2,2,3,2.6,4,4,4,5,4,4,4.166666666666667
3,4,5,4,5,4.2,4,3,3,4,3,3.4,3,2,4,3,3,3.0,4,4,5,4,3,4,4.0
4,4,4,5,4,4.2,4,5,4,4,3,4.0,3,3,2,5,3,3.2,5,5,5,5,5,5,5.0
4,5,4,3,4,4.0,4,4,4,5,4,4.2,3,4,3,2,3,3.0,4,4,4,4,4,4,4.0
4,5,3,4,4,4.0,4,4,4,4,4,4.0,3,3,3,4,4,3.4,5,3,4,5,4,3,4.0
3,2,3,3,3,2.8,3,2,2,2,2,2.2,5,4,5,5,4,4.6,1,2,2,1,2,2,1.6666666666666667
5,4,4,4,5,4.4,4,4,4,4,5,4.2,4,4,3,3,3,3.4,5,5,5,5,5,5,5.0
3,2,4,4,3,3.2,3,3,3,3,2,2.8,2,3,5,3,2,3.0,4,5,4,4,4,4,4.166666666666667
4,3,4,3,3,3.4,4,3,4,3,4,3.6,2,1,1,2,2,1.6,4,4,4,4,4,4,4.0
5,5,4,4,4,4.4,5,4,3,3,4,3.8,4,4,4,5,4,4.2,4,4,4,3,4,5,4.0
5,4,5,5,4,4.6,5,5,4,5,5,4.8,4,3,4,4,3,3.6,5,5,5,5,5,5,5.0
3,3,3,3,3,3.0,3,2,3,4,3,3.0,3,3,4,3,4,3.4,4,5,5,5,5,5,4.833333333333333
3,4,4,4,3,3.6,3,3,4,4,4,3.6,3,2,2,2,2,2.2,4,4,4,4,3,4,3.8333333333333335
4,5,3,4,4,4.0,4,3,4,3,3,3.4,3,3,3,4,3,3.2,5,5,5,5,5,5,5.0
5,4,3,4,4,4.0,4,5,4,4,4,4.2,4,3,2,4,4,3.4,4,4,4,4,5,4,4.166666666666667
3,4,4,4,3,3.6,5,4,3,4,4,4.0,3,3,4,2,2,2.8,5,5,5,4,5,5,4.833333333333333
4,4,4,4,5,4.2,5,4,4,4,4,4.2,3,1,3,3,3,2.6,5,5,4,4,4,5,4.5
4,5,5,5,4,4.6,5,5,4,5,3,4.4,3,3,4,5,3,3.6,5,5,5,5,4,4,4.666666666666667
4,4,4,4,4,4.0,4,3,4,3,3,3.4,3,4,4,4,3,3.6,3,3,3,3,3,3,3.0
4,3,3,3,3,3.2,3,2,2,3,3,2.6,5,3,4,3,5,4.0,3,3,3,3,4,3,3.1666666666666665
4,4,4,4,4,4.0,4,4,5,5,5,4.6,3,3,2,3,3,2.8,4,4,5,5,5,4,4.5
3,4,3,4,3,3.4,2,2,3,4,3,2.8,5,4,4,4,4,4.2,3,3,4,4,4,4,3.6666666666666665
3,4,4,4,4,3.8,3,4,4,3,3,3.4,4,3,3,4,4,3.6,4,4,4,4,5,4,4.166666666666667
4,4,3,4,3,3.6,3,4,3,3,3,3.2,3,4,4,4,4,3.8,2,2,1,2,3,3,2.1666666666666665
4,3,3,2,3,3.0,3,2,3,3,2,2.6,2,2,3,3,2,2.4,4,4,3,3,3,4,3.5
4,3,3,4,3,3.4,2,3,3,3,2,2.6,3,3,4,3,2,3.0,2,2,2,2,2,3,2.1666666666666665
5,5,5,5,5,5.0,5,4,5,5,5,4.8,4,4,3,4,4,3.8,5,5,5,5,5,5,5.0
3,4,3,2,3,3.0,3,2,2,3,3,2.6,3,3,3,3,3,3.0,4,4,3,3,4,4,3.6666666666666665
4,3,3,4,4,3.6,2,3,3,3,3,2.8,3,4,4,3,4,3.6,4,4,4,4,4,5,4.166666666666667
5,5,5,4,5,4.8,5,5,5,5,5,5.0,4,4,3,3,3,3.4,5,5,5,5,5,5,5.0
4,4,4,5,5,4.4,4,4,4,4,5,4.2,4,4,3,4,4,3.8,5,4,3,4,4,5,4.166666666666667
4,5,5,5,5,4.8,5,5,4,4,4,4.4,3,2,1,2,3,2.2,4,3,3,4,4,3,3.5
3,4,3,4,4,3.6,3,4,4,3,4,3.6,2,2,2,2,2,2.0,4,4,4,3,4,4,3.8333333333333335
4,5,5,5,5,4.8,4,4,4,4,4,4.0,4,3,5,4,4,4.0,4,4,4,4,2,4,3.6666666666666665
3,4,3,4,3,3.4,3,3,3,2,3,2.8,4,4,4,4,3,3.8,3,3,3,3,3,2,2.8333333333333335
3,5,4,4,4,4.0,4,5,4,4,5,4.4,3,3,3,4,2,3.0,4,4,4,4,4,3,3.8333333333333335
3,3,3,4,4,3.4,3,3,3,3,3,3.0,4,4,3,4,5,4.0,3,3,3,2,3,4,3.0
3,5,5,5,5,4.6,4,5,4,4,4,4.2,3,1,1,1,3,1.8,4,4,5,5,5,5,4.666666666666667
5,5,4,4,5,4.6,4,5,4,4,4,4.2,5,5,3,4,4,4.2,5,5,4,4,4,5,4.5
3,3,3,3,4,3.2,3,3,2,2,3,2.6,4,2,2,3,3,2.8,3,3,2,3,2,3,2.6666666666666665
3,4,3,2,2,2.8,2,2,3,2,3,2.4,4,2,3,4,2,3.0,4,4,4,4,4,4,4.0
5,3,3,2,3,3.2,3,4,3,3,4,3.4,2,1,2,1,3,1.8,4,5,5,5,5,4,4.666666666666667
5,5,5,4,5,4.8,5,4,5,5,3,4.4,3,3,4,3,2,3.0,4,4,4,5,4,4,4.166666666666667
3,3,2,3,3,2.8,3,3,3,3,2,2.8,4,4,4,4,4,4.0,4,3,3,4,3,2,3.1666666666666665
3,2,3,2,2,2.4,4,4,3,3,3,3.4,3,3,2,3,3,2.8,4,3,4,4,4,5,4.0
4,4,3,4,3,3.6,3,3,2,3,2,2.6,4,4,3,2,4,3.4,3,3,3,4,3,4,3.3333333333333335
4,5,5,5,5,4.8,5,5,4,5,5,4.8,3,4,3,2,3,3.0,5,5,4,4,4,5,4.5
4,4,4,5,5,4.4,4,5,5,4,4,4.4,3,4,3,3,4,3.4,5,5,4,5,5,5,4.833333333333333
4,3,3,3,4,3.4,2,3,3,2,4,2.8,4,3,5,4,3,3.8,1,2,3,2,3,2,2.1666666666666665
4,3,4,4,4,3.8,4,3,4,4,3,3.6,2,4,3,4,3,3.2,5,5,4,4,4,5,4.5
4,3,4,3,3,3.4,4,4,3,3,4,3.6,5,3,4,4,4,4.0,5,5,4,4,5,5,4.666666666666667
3,3,3,3,3,3.0,2,3,4,3,3,3.0,4,4,4,3,4,3.8,3,4,3,4,2,2,3.0
5,4,4,4,5,4.4,4,4,4,3,5,4.0,3,2,3,3,3,2.8,4,3,3,4,4,3,3.5
4,4,4,3,4,3.8,3,5,4,5,5,4.4,3,3,2,3,3,2.8,4,4,5,4,4,3,4.0
3,5,4,4,4,4.0,5,4,4,4,4,4.2,3,3,3,2,2,2.6,3,5,4,5,3,3,3.8333333333333335
3,3,4,3,4,3.4,3,3,4,3,3,3.2,4,3,4,4,3,3.6,3,5,4,4,4,3,3.8333333333333335
5,4,4,3,4,4.0,3,4,5,4,4,4.0,3,3,3,1,3,2.6,4,3,4,4,4,4,3.8333333333333335
4,4,4,4,3,3.8,5,4,4,4,4,4.2,4,3,3,4,3,3.4,4,3,4,4,4,4,3.8333333333333335
4,4,4,3,4,3.8,4,4,5,3,5,4.2,4,4,4,4,4,4.0,2,3,3,3,3,3,2.8333333333333335
3,2,3,2,3,2.6,3,1,2,2,2,2.0,4,4,3,5,5,4.2,3,3,2,3,3,3,2.8333333333333335
4,5,5,4,5,4.6,4,5,4,5,5,4.6,3,3,2,3,2,2.6,3,4,5,4,3,4,3.8333333333333335
3,2,2,2,3,2.4,2,3,2,2,3,2.4,4,3,2,1,4,2.8,3,3,4,3,4,4,3.5
3,3,3,4,3,3.2,4,4,4,4,4,4.0,3,2,3,2,3,2.6,5,4,5,5,4,4,4.5
4,4,4,4,3,3.8,4,3,5,4,3,3.8,3,3,3,3,4,3.2,4,4,3,4,4,3,3.6666666666666665
3,3,3,3,3,3.0,2,3,3,3,3,2.8,4,3,4,4,4,3.8,4,3,3,4,3,4,3.5
3,4,5,3,4,3.8,4,3,3,4,3,3.4,3,4,4,5,3,3.8,3,3,4,2,3,3,3.0
5,5,5,5,5,5.0,5,5,5,5,4,4.8,5,3,5,5,4,4.4,5,5,5,5,5,5,5.0
1,4,3,5,5,3.6,5,3,4,4,3,3.8,3,3,4,3,3,3.2,4,5,4,4,3,4,4.0
3,3,3,3,3,3.0,3,2,3,2,2,2.4,5,4,4,3,4,4.0,3,3,3,5,2,3,3.1666666666666665
4,4,3,3,4,3.6,3,3,4,3,2,3.0,4,3,4,2,5,3.6,4,4,4,2,4,3,3.5
4,5,5,5,5,4.8,5,4,5,5,4,4.6,2,3,2,3,2,2.4,3,4,4,4,4,4,3.8333333333333335
3,3,4,4,3,3.4,4,3,3,3,4,3.4,2,2,2,2,4,2.4,4,4,4,4,4,4,4.0
5,4,5,5,5,4.8,5,5,5,5,5,5.0,4,3,4,4,3,3.6,5,5,5,5,5,5,5.0
4,4,3,4,4,3.8,5,4,4,4,4,4.2,3,3,3,3,4,3.2,4,4,4,5,5,5,4.5
4,4,3,4,4,3.8,4,4,4,3,4,3.8,2,2,3,3,3,2.6,2,3,4,4,2,4,3.1666666666666665
3,3,3,4,3,3.2,3,3,4,3,3,3.2,1,2,2,2,2,1.8,4,5,5,3,5,5,4.5
3,4,4,4,3,3.6,3,3,3,3,2,2.8,5,4,4,4,4,4.2,3,4,3,3,3,3,3.1666666666666665
4,3,4,4,4,3.8,3,3,4,3,3,3.2,5,4,4,3,4,4.0,4,3,2,3,3,4,3.1666666666666665
2,3,4,3,2,2.8,2,2,3,2,2,2.2,2,2,1,1,3,1.8,5,5,5,5,5,5,5.0
5,4,4,4,3,4.0,4,3,4,3,3,3.4,4,5,4,3,3,3.8,3,4,3,2,3,2,2.8333333333333335
4,4,5,4,5,4.4,4,4,5,4,4,4.2,3,3,2,4,3,3.0,5,5,4,5,5,5,4.833333333333333
4,4,5,4,4,4.2,4,3,4,4,5,4.0,3,5,3,4,4,3.8,4,4,5,5,4,5,4.5
3,3,3,2,2,2.6,4,3,3,3,4,3.4,3,3,2,2,2,2.4,2,3,3,4,3,3,3.0
4,2,3,2,3,2.8,3,3,4,2,3,3.0,2,3,2,4,4,3.0,4,5,4,4,4,4,4.166666666666667
3,4,3,3,4,3.4,2,4,4,4,3,3.4,4,4,3,4,5,4.0,3,4,3,3,4,4,3.5
3,2,3,4,3,3.0,3,3,3,2,3,2.8,3,3,2,4,3,3.0,4,5,4,5,4,3,4.166666666666667
3,3,3,2,3,2.8,2,2,3,2,2,2.2,4,4,4,3,4,3.8,3,2,2,2,2,2,2.1666666666666665
4,3,3,4,4,3.6,4,4,4,4,3,3.8,4,5,4,4,5,4.4,4,4,4,3,4,3,3.6666666666666665
5,4,5,3,5,4.4,3,3,3,3,4,3.2,4,5,5,5,4,4.6,5,4,4,3,4,5,4.166666666666667
4,5,4,5,5,4.6,5,5,4,5,5,4.8,3,3,2,3,3,2.8,5,5,5,5,5,5,5.0
3,4,3,3,3,3.2,3,3,3,2,4,3.0,3,3,3,3,2,2.8,4,4,5,4,5,4,4.333333333333333
5,4,5,4,4,4.4,4,4,5,4,4,4.2,3,3,3,3,3,3.0,4,4,4,3,3,4,3.6666666666666665
4,5,5,5,5,4.8,5,5,5,5,5,5.0,4,3,3,4,3,3.4,4,5,4,4,4,4,4.166666666666667
3,3,4,3,3,3.2,3,3,3,3,3,3.0,4,3,3,4,3,3.4,4,4,4,3,3,3,3.5
4,5,5,5,3,4.4,5,5,4,5,5,4.8,3,4,4,5,4,4.0,5,5,5,5,5,5,5.0
4,4,5,4,4,4.2,4,4,4,4,4,4.0,4,3,3,4,4,3.6,5,5,4,5,5,5,4.833333333333333
3,3,4,3,4,3.4,3,3,4,3,4,3.4,3,3,3,3,4,3.2,4,4,4,4,4,4,4.0
4,4,4,3,5,4.0,4,5,4,4,4,4.2,3,3,3,3,2,2.8,4,4,4,4,5,5,4.333333333333333
3,4,4,3,2,3.2,4,3,3,4,3,3.4,2,3,3,3,3,2.8,5,5,4,5,5,4,4.666666666666667
3,4,4,4,4,3.8,3,4,4,4,2,3.4,4,3,3,3,3,3.2,3,2,2,3,2,4,2.6666666666666665
3,3,3,3,2,2.8,3,3,2,2,2,2.4,4,4,3,4,3,3.6,3,3,4,3,3,3,3.1666666666666665
4,3,4,4,3,3.6,2,3,3,3,3,2.8,3,2,3,2,3,2.6,4,5,5,5,4,5,4.666666666666667
4,4,4,5,4,4.2,4,3,4,4,3,3.6,3,3,3,3,3,3.0,4,4,4,3,4,4,3.8333333333333335
5,4,4,5,4,4.4,4,5,4,4,4,4.2,3,2,2,3,2,2.4,4,4,3,4,4,4,3.8333333333333335
3,4,3,4,4,3.6,4,4,4,3,4,3.8,3,4,4,3,4,3.6,4,4,4,4,4,4,4.0
5,4,5,5,5,4.8,4,4,4,4,4,4.0,3,4,3,5,3,3.6,4,5,4,5,5,5,4.666666666666667
3,4,4,5,4,4.0,4,4,4,4,4,4.0,2,2,2,2,1,1.8,5,5,5,5,4,4,4.666666666666667
4,3,4,4,3,3.6,3,3,3,3,3,3.0,2,2,2,2,2,2.0,4,5,5,4,4,5,4.5
3,3,4,3,3,3.2,2,3,3,3,2,2.6,4,2,3,3,2,2.8,3,3,3,2,4,3,3.0
2,3,3,3,3,2.8,3,3,3,3,2,2.8,1,3,3,4,2,2.6,2,4,3,4,3,3,3.1666666666666665
5,5,5,5,4,4.8,4,5,5,5,5,4.8,3,3,2,3,4,3.0,4,4,4,4,5,4,4.166666666666667
4,4,3,4,4,3.8,4,4,4,3,3,3.6,3,3,4,2,3,3.0,4,4,4,5,4,4,4.166666666666667
2,2,3,3,1,2.2,3,3,3,3,4,3.2,2,2,2,2,3,2.2,3,3,3,3,2,3,2.8333333333333335
2,3,3,3,3,2.8,3,2,3,3,3,2.8,3,3,4,3,2,3.0,3,3,4,4,3,4,3.5
4,3,4,4,3,3.6,4,4,3,3,3,3.4,5,3,3,3,3,3.4,5,5,5,5,5,5,5.0
4,4,3,4,3,3.6,3,2,2,2,2,2.2,2,2,2,2,2,2.0,5,4,4,4,4,4,4.166666666666667
4,4,5,4,4,4.2,3,3,4,4,4,3.6,4,4,4,3,4,3.8,4,4,3,5,4,4,4.0
4,4,5,5,4,4.4,4,4,4,5,3,4.0,4,4,3,4,4,3.8,4,4,4,5,4,5,4.333333333333333
5,4,5,5,5,4.8,5,5,5,4,5,4.8,2,4,3,3,3,3.0,4,4,4,5,4,4,4.166666666666667
4,4,4,5,4,4.2,3,5,4,4,3,3.8,4,3,3,4,3,3.4,5,4,5,5,4,4,4.5
4,4,3,3,4,3.6,4,3,4,4,4,3.8,2,3,3,2,3,2.6,5,5,5,4,5,5,4.833333333333333
5,5,5,5,5,5.0,5,5,5,5,5,5.0,2,4,4,3,3,3.2,5,5,5,4,5,5,4.833333333333333
4,4,3,3,3,3.4,2,3,2,2,3,2.4,4,4,4,3,5,4.0,4,5,3,4,4,4,4.0
5,5,5,5,5,5.0,4,5,5,4,5,4.6,2,2,1,1,1,1.4,3,3,3,4,4,3,3.3333333333333335
4,3,3,3,4,3.4,3,2,4,4,4,3.4,2,2,3,2,2,2.2,3,3,4,4,3,4,3.5
4,5,4,4,4,4.2,5,5,4,5,5,4.8,3,3,3,2,3,2.8,5,5,4,4,5,5,4.666666666666667
4,4,4,3,5,4.0,3,3,3,3,3,3.0,3,3,1,3,3,2.6,4,4,4,4,4,3,3.8333333333333335
3,3,3,3,2,2.8,2,2,2,3,3,2.4,3,4,4,3,3,3.4,4,3,4,3,3,3,3.3333333333333335
5,4,4,3,3,3.8,3,3,4,4,2,3.2,2,2,3,3,3,2.6,5,5,4,5,5,4,4.666666666666667
4,3,4,4,4,3.8,4,5,3,4,4,4.0,4,3,5,3,3,3.6,3,4,4,4,3,4,3.6666666666666665
3,4,3,3,4,3.4,3,3,4,3,3,3.2,3,3,4,3,4,3.4,4,3,4,4,4,4,3.8333333333333335
3,4,4,4,4,3.8,4,4,4,5,4,4.2,4,3,3,3,4,3.4,5,4,3,5,5,5,4.5
4,3,4,3,4,3.6,3,3,3,3,3,3.0,5,3,4,4,4,4.0,5,3,5,4,4,3,4.0
3,5,4,5,4,4.2,5,4,4,4,4,4.2,4,5,5,4,5,4.6,5,4,5,5,5,5,4.833333333333333
4,3,4,3,4,3.6,4,4,3,3,4,3.6,4,4,5,5,5,4.6,2,2,2,3,2,2,2.1666666666666665
5,5,4,5,5,4.8,5,5,5,4,5,4.8,3,5,4,4,4,4.0,4,4,4,3,4,3,3.6666666666666665
3,4,5,4,4,4.0,3,4,4,4,3,3.6,3,2,2,2,3,2.4,3,3,4,4,4,4,3.6666666666666665
2,4,4,4,3,3.4,4,4,3,3,3,3.4,3,4,4,3,4,3.6,3,4,4,3,3,4,3.5
3,3,4,3,4,3.4,3,4,3,3,3,3.2,5,4,3,4,4,4.0,2,2,3,3,2,3,2.5
5,5,5,5,4,4.8,5,5,4,5,4,4.6,2,2,3,3,3,2.6,4,4,4,3,3,4,3.6666666666666665
5,5,5,5,4,4.8,5,5,5,5,5,5.0,4,4,4,3,4,3.8,5,4,4,5,4,4,4.333333333333333
4,4,3,3,3,3.4,3,3,4,4,3,3.4,4,4,3,3,4,3.6,5,4,5,5,4,4,4.5
3,4,4,3,4,3.6,3,3,3,3,3,3.0,4,4,3,4,4,3.8,4,4,4,4,4,4,4.0
4,4,4,4,3,3.8,3,3,3,3,3,3.0,4,4,4,4,4,4.0,4,3,4,4,3,3,3.5
4,4,3,2,3,3.2,3,3,3,4,3,3.2,3,2,2,2,3,2.4,5,4,5,5,5,5,4.833333333333333
4,4,5,5,4,4.4,4,5,4,4,4,4.2,4,3,3,3,3,3.2,4,4,5,5,4,4,4.333333333333333
4,4,4,3,4,3.8,3,3,3,3,4,3.2,3,3,3,2,3,2.8,4,4,3,4,4,4,3.8333333333333335
4,2,3,3,3,3.0,4,4,3,4,4,3.8,3,3,2,4,3,3.0,3,4,4,3,4,4,3.6666666666666665
5,4,4,4,4,4.2,5,5,5,4,4,4.6,3,3,3,2,3,2.8,4,4,5,5,5,5,4.666666666666667
3,2,3,2,2,2.4,3,3,4,2,2,2.8,4,4,4,5,4,4.2,3,3,3,3,3,3,3.0
2,2,3,3,3,2.6,2,3,2,3,2,2.4,5,3,2,3,3,3.2,3,3,3,3,3,3,3.0
4,4,4,3,3,3.6,4,3,3,4,4,3.6,4,3,4,3,3,3.4,4,4,4,4,4,4,4.0
4,4,5,4,4,4.2,4,3,4,4,5,4.0,4,4,2,2,2,2.8,4,4,4,4,4,4,4.0
3,4,3,4,4,3.6,2,3,3,2,3,2.6,3,3,3,2,3,2.8,4,4,4,4,5,4,4.166666666666667
4,4,3,4,4,3.8,3,4,4,4,3,3.6,3,3,3,4,3,3.2,3,3,4,4,4,3,3.5
4,2,3,3,3,3.0,3,2,3,3,2,2.6,3,3,4,4,1,3.0,3,4,4,4,4,4,3.8333333333333335
4,4,4,3,4,3.8,4,4,5,4,4,4.2,4,4,4,1,4,3.4,5,5,4,5,4,5,4.666666666666667
4,5,4,4,3,4.0,3,4,4,4,5,4.0,3,3,3,3,3,3.0,5,5,5,5,4,4,4.666666666666667
3,4,3,4,4,3.6,2,3,2,3,2,2.4,3,3,2,3,4,3.0,4,4,4,3,3,4,3.6666666666666665
4,4,4,4,4,4.0,3,4,4,4,4,3.8,4,4,5,4,5,4.4,4,4,3,4,4,4,3.8333333333333335
5,4,5,4,4,4.4,5,5,5,4,4,4.6,3,4,4,3,3,3.4,4,5,4,5,5,4,4.5
3,3,4,3,3,3.2,4,4,3,4,2,3.4,3,3,3,2,3,2.8,4,5,4,4,3,5,4.166666666666667
5,5,4,4,4,4.4,4,4,4,5,4,4.2,4,3,3,4,3,3.4,5,5,5,5,5,5,5.0
4,4,5,5,4,4.4,4,4,4,4,3,3.8,1,1,1,2,1,1.2,2,3,3,4,3,3,3.0
4,5,4,4,5,4.4,5,4,5,4,5,4.6,3,4,4,3,4,3.6,4,5,4,4,5,5,4.5
2,2,2,3,1,2.0,2,2,2,3,1,2.0,5,4,3,5,3,4.0,2,2,3,3,2,2,2.3333333333333335
4,5,4,5,4,4.4,4,4,4,4,4,4.0,3,4,2,3,5,3.4,3,4,5,4,3,3,3.6666666666666665
4,4,3,3,4,3.6,3,4,4,3,3,3.4,4,4,4,3,3,3.6,4,3,4,4,5,4,4.0
3,3,2,3,2,2.6,3,4,4,3,3,3.4,3,3,2,3,3,2.8,3,3,4,4,3,4,3.5
4,5,5,5,5,4.8,4,5,5,4,5,4.6,2,3,3,3,2,2.6,3,3,3,3,2,3,2.8333333333333335
4,4,4,5,4,4.2,3,4,4,4,4,3.8,2,4,3,3,3,3.0,4,5,5,4,5,4,4.5
4,3,4,3,3,3.4,4,3,2,3,4,3.2,3,5,3,4,3,3.6,3,3,3,3,3,3,3.0
3,3,3,3,4,3.2,3,3,3,2,3,2.8,4,5,5,5,5,4.8,3,4,5,3,4,3,3.6666666666666665
5,3,3,3,3,3.4,4,4,4,4,3,3.8,2,3,2,3,2,2.4,4,5,5,5,5,4,4.666666666666667
4,5,3,4,4,4.0,3,4,2,4,4,3.4,4,3,4,3,3,3.4,5,4,5,4,5,5,4.666666666666667
5,5,5,3,4,4.4,4,4,5,4,4,4.2,4,4,5,4,3,4.0,3,4,4,4,3,3,3.5
4,4,4,4,2,3.6,3,3,3,4,3,3.2,3,3,3,3,4,3.2,3,3,3,3,3,3,3.0
4,3,2,3,4,3.2,4,2,2,3,3,2.8,5,3,4,5,3,4.0,4,4,4,4,5,3,4.0
5,5,4,5,5,4.8,5,5,4,5,4,4.6,4,3,3,4,4,3.6,4,4,4,4,4,4,4.0
4,3,3,3,4,3.4,3,3,3,2,3,2.8,2,1,4,4,2,2.6,4,5,4,5,4,4,4.333333333333333
4,4,4,4,3,3.8,4,4,3,3,3,3.4,2,3,4,4,3,3.2,5,5,5,5,4,4,4.666666666666667
5,4,5,4,4,4.4,5,4,3,4,4,4.0,3,3,3,3,3,3.0,4,4,3,4,3,3,3.5
3,3,5,5,4,4.0,4,4,4,4,4,4.0,3,3,3,2,2,2.6,4,4,5,5,4,4,4.333333333333333
5,4,5,5,5,4.8,4,4,4,4,3,3.8,1,1,1,1,2,1.2,4,4,4,4,4,4,4.0
