AI1,AI2,AI3,AI4,AI5,TC1,TC2,TC3,TC4,TC5,PC1,PC2,PC3,PC4,PC5,PS1,PS2,PS3,PS4,PS5,PS6,AI_mean,TC_mean,PC_mean,PS_mean
5,5,5,5,5,5,5,5,5,5,2,1,1,1,2,5,5,5,5,5,5,5.0,5.0,1.4,5.0
4,4,4,3,4,3,5,4,5,5,3,4,4,3,4,4,5,5,5,5,5,3.8,4.4,3.6,4.833333333333333
5,5,5,5,5,5,5,4,5,5,2,3,3,3,3,4,4,4,4,5,4,5.0,4.8,2.8,4.166666666666667
4,5,3,4,4,3,3,4,2,4,4,3,4,3,5,4,4,4,4,4,3,4.0,3.2,3.8,3.8333333333333335
3,3,3,3,4,4,4,4,4,4,3,3,3,5,3,4,3,3,4,4,4,3.2,4.0,3.4,3.6666666666666665
4,3,5,4,5,4,5,5,4,4,2,2,2,3,3,5,5,5,5,4,4,4.2,4.4,2.4,4.666666666666667
4,4,4,3,4,4,4,5,4,5,2,3,3,3,4,4,4,4,4,4,4,3.8,4.4,3.0,4.0
2,3,2,3,3,3,3,2,2,3,2,1,3,3,3,3,5,4,3,4,3,2.6,2.6,2.4,3.6666666666666665
3,3,3,4,3,4,3,4,3,3,3,2,2,3,2,4,4,3,4,4,4,3.2,3.4,2.4,3.8333333333333335
4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,5,4,4,3,3.6,3.6,3.8,3.8333333333333335
5,3,5,4,5,4,5,4,5,4,3,3,2,2,2,5,4,4,4,5,4,4.4,4.4,2.4,4.333333333333333
3,4,4,3,4,4,3,3,4,4,3,3,4,3,3,3,4,3,4,4,4,3.6,3.6,3.2,3.6666666666666665
4,4,4,4,4,4,3,4,4,3,2,2,2,2,2,5,5,4,4,5,4,4.0,3.6,2.0,4.5
5,3,3,4,4,4,3,4,5,4,3,3,4,2,3,4,4,3,4,3,3,3.8,4.0,3.0,3.5
4,4,3,4,5,5,4,4,3,3,2,2,3,2,3,3,4,5,4,4,3,4.0,3.8,2.4,3.8333333333333335
5,4,4,5,4,3,4,4,4,4,2,2,3,2,2,5,5,5,5,5,5,4.4,3.8,2.2,5.0
3,2,3,4,3,3,3,3,3,3,2,2,2,2,2,4,4,3,3,3,4,3.0,3.0,2.0,3.5
4,3,3,3,4,3,3,3,3,3,4,3,5,4,3,5,4,4,4,5,4,3.4,3.0,3.8,4.333333333333333
3,3,4,5,4,4,4,4,4,4,3,1,2,1,1,4,4,5,5,5,5,3.8,4.0,1.6,4.666666666666667
4,3,3,4,3,3,2,3,2,3,3,3,3,4,5,4,4,4,4,5,3,3.4,2.6,3.6,4.0
3,3,2,3,3,3,4,3,2,3,2,1,3,2,2,5,5,5,5,5,4,2.8,3.0,2.0,4.833333333333333
3,4,4,3,3,3,3,2,3,3,3,4,3,4,3,5,5,5,5,5,5,3.4,2.8,3.4,5.0
4,3,4,4,4,4,4,4,3,4,3,1,3,2,2,5,4,5,5,5,5,3.8,3.8,2.2,4.833333333333333
3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,4,3.2,3.2,3.2,3.8333333333333335
4,4,4,4,3,3,4,4,3,4,2,3,2,2,2,4,4,4,4,5,4,3.8,3.6,2.2,4.166666666666667
3,5,5,5,4,4,5,5,4,5,2,2,2,3,3,5,4,5,5,5,5,4.4,4.6,2.4,4.833333333333333
3,3,4,3,3,2,3,2,2,3,5,4,5,4,5,3,3,3,4,3,4,3.2,2.4,4.6,3.3333333333333335
3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,4,3,3,3,3,3,2.8,2.0,2.6,3.1666666666666665
5,3,5,5,4,4,4,5,5,5,1,3,3,2,3,5,5,4,4,5,5,4.4,4.6,2.4,4.666666666666667
4,4,3,4,3,4,4,4,4,3,4,3,3,3,4,4,5,4,5,4,4,3.6,3.8,3.4,4.333333333333333
4,4,4,5,4,3,4,4,3,5,3,3,2,3,2,5,4,4,5,4,4,4.2,3.8,2.6,4.333333333333333
5,4,4,5,5,3,3,3,4,4,3,2,4,3,4,4,4,4,3,4,3,4.6,3.4,3.2,3.6666666666666665
5,4,5,4,4,5,4,5,4,5,3,4,2,3,2,4,4,4,5,5,5,4.4,4.6,2.8,4.5
3,4,3,3,3,3,3,2,2,4,2,3,3,3,3,5,3,3,3,3,4,3.2,2.8,2.8,3.5
3,4,4,4,2,3,3,3,3,3,5,3,5,4,4,4,4,3,3,3,4,3.4,3.0,4.2,3.5
4,4,4,4,4,5,4,4,4,4,3,3,4,3,3,5,4,4,4,3,4,4.0,4.2,3.2,4.0
4,4,4,5,5,4,4,4,5,4,4,4,3,3,4,4,4,3,5,4,5,4.4,4.2,3.6,4.166666666666667
4,3,3,3,4,3,4,4,4,4,3,3,3,3,3,4,4,5,4,4,3,3.4,3.8,3.0,4.0
4,4,4,3,4,4,4,5,4,4,4,3,3,3,3,5,5,5,5,5,5,3.8,4.2,3.2,5.0
3,3,3,2,4,3,2,2,3,3,1,2,2,2,3,4,4,4,4,5,3,3.0,2.6,2.0,4.0
4,3,3,3,4,4,4,4,4,5,2,1,2,3,2,3,3,4,4,3,3,3.4,4.2,2.0,3.3333333333333335
3,3,3,3,2,4,2,3,3,2,4,3,3,3,2,3,4,3,3,3,3,2.8,2.8,3.0,3.1666666666666665
4,4,4,5,4,5,3,4,4,5,3,2,4,3,2,4,4,3,3,4,4,4.2,4.2,2.8,3.6666666666666665
2,4,3,3,3,3,2,3,4,3,4,3,3,5,3,4,3,3,2,3,3,3.0,3.0,3.6,3.0
4,3,4,4,4,3,3,5,4,3,4,3,3,4,3,3,4,3,4,3,4,3.8,3.6,3.4,3.5
4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,5,4,4,4,5,4.0,3.6,3.8,4.333333333333333
4,3,4,3,4,3,3,3,2,3,4,2,3,3,2,4,4,4,4,3,4,3.6,2.8,2.8,3.8333333333333335
5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.4,4.2,4.0,5.0
4,4,4,4,4,5,5,4,4,4,3,3,2,3,3,4,4,5,5,4,4,4.0,4.4,2.8,4.333333333333333
3,4,4,4,4,3,3,3,2,4,3,4,4,3,5,4,3,3,3,3,3,3.8,3.0,3.8,3.1666666666666665
3,3,4,3,2,2,4,3,3,2,5,4,5,4,5,3,3,3,3,2,3,3.0,2.8,4.6,2.8333333333333335
4,3,2,4,4,3,4,4,3,2,3,3,4,4,4,3,4,4,3,4,4,3.4,3.2,3.6,3.6666666666666665
4,4,3,4,4,3,3,3,3,4,3,3,3,3,2,4,3,3,3,3,3,3.8,3.2,2.8,3.1666666666666665
3,4,2,4,3,3,3,3,3,4,3,3,3,2,3,4,5,4,3,4,3,3.2,3.2,2.8,3.8333333333333335
3,3,3,3,4,3,3,3,3,2,5,5,5,5,5,3,3,3,3,2,3,3.2,2.8,5.0,2.8333333333333335
3,4,3,3,5,4,4,2,3,4,4,3,2,1,2,4,4,5,4,4,5,3.6,3.4,2.4,4.333333333333333
5,5,5,5,5,5,5,4,5,4,3,4,4,4,3,4,4,4,4,5,4,5.0,4.6,3.6,4.166666666666667
3,3,4,4,3,4,3,3,2,3,3,4,5,4,3,2,1,2,1,2,2,3.4,3.0,3.8,1.6666666666666667
4,4,5,4,4,4,3,5,3,4,4,3,3,4,3,3,4,3,4,4,4,4.2,3.8,3.4,3.6666666666666665
5,4,5,4,3,5,4,4,4,5,3,4,4,5,4,3,4,3,3,3,4,4.2,4.4,4.0,3.3333333333333335
4,3,4,3,3,3,3,3,2,3,3,3,4,2,3,5,5,5,5,5,5,3.4,2.8,3.0,5.0
3,4,4,4,4,3,3,4,3,3,4,3,4,3,4,4,5,5,4,4,4,3.8,3.2,3.6,4.333333333333333
4,3,2,3,3,3,3,3,3,3,3,4,5,5,4,2,3,3,3,3,3,3.0,3.0,4.2,2.8333333333333335
3,3,4,4,5,3,3,4,4,3,4,4,5,4,5,3,3,4,3,4,3,3.8,3.4,4.4,3.3333333333333335
3,4,5,3,3,3,3,3,3,3,2,3,3,2,3,5,4,4,4,4,4,3.6,3.0,2.6,4.166666666666667
5,5,4,5,5,3,4,4,4,4,3,2,3,2,4,4,4,5,4,4,3,4.8,3.8,2.8,4.0
3,3,3,3,3,4,4,4,3,4,2,2,4,3,3,3,5,4,4,4,3,3.0,3.8,2.8,3.8333333333333335
4,4,4,4,3,3,3,4,4,4,2,3,2,2,3,5,4,5,5,5,5,3.8,3.6,2.4,4.833333333333333
2,3,3,3,3,3,3,2,3,2,3,2,3,4,1,3,3,4,3,4,3,2.8,2.6,2.6,3.3333333333333335
4,4,3,4,5,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,4.0,3.8,3.0,2.8333333333333335
5,5,5,5,5,5,5,5,5,5,3,3,4,5,4,5,5,5,5,5,5,5.0,5.0,3.8,5.0
4,4,5,5,5,5,4,4,3,4,3,3,4,4,3,3,4,3,3,3,3,4.6,4.0,3.4,3.1666666666666665
3,4,3,4,3,3,3,3,3,2,4,4,4,3,4,3,3,3,3,2,2,3.4,2.8,3.8,2.6666666666666665
5,4,5,5,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,4.8,4.2,4.2,4.5
3,3,4,4,3,3,3,4,3,4,3,4,4,5,4,5,5,5,5,5,5,3.4,3.4,4.0,5.0
4,4,5,4,4,4,5,5,4,4,1,2,2,3,3,5,5,5,5,5,5,4.2,4.4,2.2,5.0
3,4,3,3,3,3,3,3,3,4,2,4,3,4,2,4,4,4,3,4,3,3.2,3.2,3.0,3.6666666666666665
5,5,4,4,4,4,5,5,3,4,3,3,3,3,3,5,5,5,4,5,5,4.4,4.2,3.0,4.833333333333333
5,5,5,5,5,5,5,5,5,5,2,3,3,2,2,5,5,4,4,4,5,5.0,5.0,2.4,4.5
4,3,2,3,3,2,1,3,3,3,5,3,3,3,3,4,4,4,4,5,4,3.0,2.4,3.4,4.166666666666667
3,3,4,3,3,3,3,3,3,3,4,3,4,3,2,4,5,5,4,4,4,3.2,3.0,3.2,4.333333333333333
4,3,2,4,3,3,2,3,3,4,5,4,4,4,4,2,3,3,3,3,3,3.2,3.0,4.2,2.8333333333333335
4,4,4,4,4,4,5,4,4,4,3,2,2,4,3,4,3,3,4,4,4,4.0,4.2,2.8,3.6666666666666665
3,3,4,3,4,4,3,3,4,4,4,4,3,3,3,4,4,4,5,4,4,3.4,3.6,3.4,4.166666666666667
4,3,3,4,3,3,3,4,4,3,3,4,3,2,4,3,3,3,3,4,4,3.4,3.4,3.2,3.3333333333333335
4,3,3,3,3,3,3,1,3,4,2,3,3,3,2,3,2,2,2,1,3,3.2,2.8,2.6,2.1666666666666665
5,5,5,4,5,5,5,5,4,4,3,4,3,5,4,5,4,5,4,5,5,4.8,4.6,3.8,4.666666666666667
3,4,4,4,4,4,3,5,4,4,3,3,2,4,3,3,3,4,4,4,3,3.8,4.0,3.0,3.5
4,4,4,5,4,4,4,4,3,4,5,3,3,3,4,5,3,3,4,4,4,4.2,3.8,3.6,3.8333333333333335
4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3.8,4.0,3.4,3.8333333333333335
4,3,3,4,5,4,3,3,3,3,3,4,5,4,4,3,2,2,3,2,3,3.8,3.2,4.0,2.5
4,3,2,2,3,3,3,3,3,3,4,3,3,4,3,5,5,5,5,5,5,2.8,3.0,3.4,5.0
3,3,4,3,3,3,4,3,3,3,4,3,2,3,4,4,4,4,4,5,4,3.2,3.2,3.2,4.166666666666667
2,3,3,3,3,3,2,4,3,3,3,4,3,3,1,4,3,3,4,3,4,2.8,3.0,2.8,3.5
3,3,3,3,4,3,2,2,3,2,4,3,4,4,4,3,3,3,3,3,3,3.2,2.4,3.8,3.0
4,4,4,4,5,4,5,4,4,5,4,3,2,3,3,5,4,4,5,4,5,4.2,4.4,3.0,4.5
5,4,5,5,5,4,5,5,4,5,4,2,3,3,3,5,4,4,4,5,5,4.8,4.6,3.0,4.5
2,3,2,2,3,3,3,2,3,3,4,4,3,3,4,2,3,3,2,3,2,2.4,2.8,3.6,2.5
4,4,5,5,4,5,5,5,5,5,4,4,3,4,3,5,5,3,4,4,4,4.4,5.0,3.6,4.166666666666667
4,4,4,3,3,4,3,3,4,3,4,3,5,3,3,3,3,4,3,3,2,3.6,3.4,3.6,3.0
5,4,4,5,5,3,4,3,4,4,3,2,3,3,3,4,4,4,4,3,4,4.6,3.6,2.8,3.8333333333333335
4,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4.0,3.4,3.6,4.0
5,5,4,5,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4.6,4.0,3.6,3.5
3,4,3,2,3,3,3,3,3,2,5,2,3,4,4,5,4,4,4,5,5,3.0,2.8,3.6,4.5
3,2,4,4,3,3,3,4,5,4,4,3,3,3,3,4,4,4,4,4,3,3.2,3.8,3.2,3.8333333333333335
5,3,4,4,5,4,3,4,3,3,4,4,3,4,3,3,3,4,3,4,4,4.2,3.4,3.6,3.5
4,4,4,3,3,3,3,4,4,4,3,2,3,4,2,3,4,4,4,4,3,3.6,3.6,2.8,3.6666666666666665
2,2,2,2,1,1,1,2,3,1,3,4,4,4,4,3,2,3,3,3,2,1.8,1.6,3.8,2.6666666666666665
4,2,3,3,4,2,4,3,3,3,4,5,3,4,4,3,3,3,3,3,3,3.2,3.0,4.0,3.0
4,5,5,5,5,4,4,4,3,4,2,2,1,3,2,4,4,4,3,3,3,4.8,3.8,2.0,3.5
3,3,2,3,3,3,2,3,2,2,3,4,4,3,4,3,3,4,4,2,3,2.8,2.4,3.6,3.1666666666666665
5,5,5,4,5,5,5,4,4,5,2,2,2,2,3,5,5,5,5,5,5,4.8,4.6,2.2,5.0
3,2,3,3,3,3,2,3,3,4,4,4,4,4,4,4,5,4,4,4,4,2.8,3.0,4.0,4.166666666666667
5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.6,4.0,4.0,5.0
2,2,3,3,4,2,2,2,3,3,3,3,4,3,3,2,2,2,3,3,3,2.8,2.4,3.2,2.5
3,4,4,4,4,3,4,4,4,3,3,3,4,2,3,4,4,4,4,4,4,3.8,3.6,3.0,4.0
3,5,4,4,5,3,5,3,4,4,5,4,4,5,5,4,5,5,3,5,5,4.2,3.8,4.6,4.5
4,4,5,5,4,4,3,4,4,4,2,2,1,1,2,4,3,4,4,3,4,4.4,3.8,1.6,3.6666666666666665
4,5,4,4,5,4,4,4,4,4,3,2,3,3,1,5,5,5,5,5,5,4.4,4.0,2.4,5.0
4,2,3,2,3,2,3,3,3,3,5,4,4,3,4,3,3,3,3,3,3,2.8,2.8,4.0,3.0
4,3,4,3,4,4,4,5,4,4,4,4,5,4,4,4,3,4,4,5,3,3.6,4.2,4.2,3.8333333333333335
4,5,5,5,4,5,4,5,5,5,4,4,4,2,3,4,5,4,4,4,5,4.6,4.8,3.4,4.333333333333333
4,3,4,5,4,4,4,4,4,4,3,5,3,4,3,5,4,4,5,5,4,4.0,4.0,3.6,4.5
4,3,4,4,3,3,4,3,4,3,4,2,4,4,4,4,4,4,4,4,4,3.6,3.4,3.6,4.0
5,4,5,4,4,3,4,4,4,3,3,3,3,3,4,4,4,5,3,4,4,4.4,3.6,3.2,4.0
5,5,5,4,5,4,4,3,3,4,3,3,3,3,4,5,5,5,5,5,5,4.8,3.6,3.2,5.0
4,4,4,3,3,5,5,4,5,4,1,2,3,2,2,3,3,3,3,4,3,3.6,4.6,2.0,3.1666666666666665
3,3,4,4,2,3,3,3,3,3,2,2,3,2,2,2,2,2,3,2,2,3.2,3.0,2.2,2.1666666666666665
5,3,3,3,4,3,3,3,4,3,2,3,4,3,4,4,3,3,4,4,4,3.6,3.2,3.2,3.6666666666666665
5,4,4,3,4,4,5,4,4,4,4,3,4,4,4,5,5,5,4,5,5,4.0,4.2,3.8,4.833333333333333
5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4,5.0,4.0,3.0,3.8333333333333335
5,4,4,4,4,3,4,4,5,5,3,3,2,2,3,5,5,5,4,4,4,4.2,4.2,2.6,4.5
4,5,5,4,3,3,3,4,4,4,3,4,3,5,3,5,5,5,5,4,5,4.2,3.6,3.6,4.833333333333333
5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,4,4,4,5,4,5,5.0,5.0,3.0,4.333333333333333
5,4,4,4,3,4,4,4,3,3,3,3,2,2,3,4,4,3,4,3,4,4.0,3.6,2.6,3.6666666666666665
2,2,2,2,2,1,2,2,1,1,3,3,3,2,3,2,3,2,3,2,2,2.0,1.4,2.8,2.3333333333333335
5,5,4,4,5,4,4,4,5,4,3,3,4,2,4,5,4,4,4,5,5,4.6,4.2,3.2,4.5
4,5,4,4,5,3,3,3,4,4,4,2,2,3,3,3,3,3,3,3,4,4.4,3.4,2.8,3.1666666666666665
3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,4,4,3,5,4,4,3.2,3.0,2.2,4.0
4,4,4,4,4,5,4,3,4,4,2,1,1,1,3,4,3,4,4,3,3,4.0,4.0,1.6,3.5
4,5,4,4,4,3,3,4,4,4,5,4,2,4,4,3,3,3,2,2,2,4.2,3.6,3.8,2.5
3,5,3,5,4,4,3,4,3,3,2,3,3,3,1,4,4,4,4,3,4,4.0,3.4,2.4,3.8333333333333335
5,5,5,5,5,5,5,5,4,5,2,3,3,2,3,5,5,5,5,5,5,5.0,4.8,2.6,5.0
5,4,5,5,5,4,5,4,4,4,2,3,4,3,3,4,5,4,5,5,5,4.8,4.2,3.0,4.666666666666667
5,3,4,5,5,4,4,5,5,5,3,5,3,3,3,4,4,4,4,4,4,4.4,4.6,3.4,4.0
4,3,4,3,4,2,3,4,4,3,4,4,4,4,3,4,4,3,5,4,4,3.6,3.2,3.8,4.0
2,4,3,3,2,3,3,4,3,2,4,4,4,3,4,3,3,4,3,3,3,2.8,3.0,3.8,3.1666666666666665
4,3,4,4,5,3,4,3,4,4,3,4,3,4,4,4,4,4,4,3,3,4.0,3.6,3.6,3.6666666666666665
2,2,2,3,3,2,2,1,1,2,3,3,4,4,3,3,3,3,2,3,3,2.4,1.6,3.4,2.8333333333333335
5,5,5,4,5,4,4,4,5,3,2,3,3,3,3,3,3,4,3,3,3,4.8,4.0,2.8,3.1666666666666665
4,4,4,5,5,5,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4.4,4.2,3.6,3.6666666666666665
4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4.0,4.2,4.0,4.166666666666667
3,3,5,3,4,2,4,3,3,4,3,4,3,4,3,3,4,4,4,4,3,3.6,3.2,3.4,3.6666666666666665
5,4,4,3,5,4,4,4,4,4,3,3,3,2,3,5,4,5,5,5,5,4.2,4.0,2.8,4.833333333333333
5,4,3,3,3,3,3,3,3,2,4,4,5,3,5,4,4,4,3,4,4,3.6,2.8,4.2,3.8333333333333335
3,4,4,2,4,4,3,2,3,4,4,4,4,4,3,4,4,5,3,5,4,3.4,3.2,3.8,4.166666666666667
3,3,3,3,4,3,3,2,2,3,3,2,4,3,2,3,2,3,3,2,3,3.2,2.6,2.8,2.6666666666666665
3,3,3,3,4,2,2,3,4,3,3,3,4,2,3,4,4,4,4,4,3,3.2,2.8,3.0,3.8333333333333335
4,3,3,3,4,3,3,4,3,4,3,4,3,3,2,3,3,3,3,3,3,3.4,3.4,3.0,3.0
4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3.6,4.0,3.0,3.8333333333333335
5,3,4,4,4,4,3,2,4,3,3,3,4,3,4,4,4,4,4,4,4,4.0,3.2,3.4,4.0
4,3,4,3,4,4,3,3,3,3,5,5,5,5,5,4,4,5,4,3,3,3.6,3.2,5.0,3.8333333333333335
5,4,4,5,5,5,5,3,4,4,3,3,4,3,3,4,5,4,5,5,5,4.6,4.2,3.2,4.666666666666667
3,2,3,4,3,3,3,2,3,3,4,4,3,4,4,3,3,4,3,3,2,3.0,2.8,3.8,3.0
4,4,4,3,4,4,4,3,4,4,2,2,2,3,3,5,5,5,5,5,5,3.8,3.8,2.4,5.0
4,3,3,3,3,1,2,2,2,1,4,3,3,3,3,3,3,3,3,3,3,3.2,1.6,3.2,3.0
4,4,4,4,5,3,4,2,3,4,4,3,2,2,1,3,3,3,4,4,3,4.2,3.2,2.4,3.3333333333333335
4,5,4,5,4,4,4,4,3,3,2,3,2,3,3,5,4,5,5,5,5,4.4,3.6,2.6,4.833333333333333
3,3,2,3,3,3,2,2,2,1,4,4,3,2,2,4,4,4,4,4,4,2.8,2.0,3.0,4.0
4,3,3,4,3,2,4,3,3,3,3,5,4,4,2,4,4,5,4,4,4,3.4,3.0,3.6,4.166666666666667
4,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,4,4,4,3,4,3.2,2.6,2.8,3.6666666666666665
3,3,4,3,3,2,3,3,3,3,5,4,4,3,4,4,5,5,5,4,4,3.2,2.8,4.0,4.5
5,5,4,5,4,5,5,5,5,5,2,3,1,2,3,5,3,4,3,5,4,4.6,5.0,2.2,4.0
3,4,3,5,4,4,4,4,3,4,2,3,2,2,2,4,3,3,4,4,3,3.8,3.8,2.2,3.5
4,5,4,4,5,4,4,4,5,4,5,4,4,5,4,4,4,4,4,4,3,4.4,4.2,4.4,3.8333333333333335
5,5,5,5,5,5,5,5,5,5,3,5,4,3,5,4,4,4,5,4,4,5.0,5.0,4.0,4.166666666666667
4,4,4,3,4,5,4,4,5,4,3,3,4,2,3,4,3,3,4,3,3,3.8,4.4,3.0,3.3333333333333335
4,4,5,4,4,3,3,3,4,4,4,5,4,5,5,4,4,4,4,4,4,4.2,3.4,4.6,4.0
4,3,4,5,4,4,4,3,4,4,3,2,2,3,4,4,4,3,4,3,4,4.0,3.8,2.8,3.6666666666666665
3,4,5,4,5,3,3,4,4,3,4,3,4,4,3,5,5,5,5,4,4,4.2,3.4,3.6,4.666666666666667
4,4,3,3,4,3,3,3,4,3,4,3,5,3,4,4,4,4,4,3,4,3.6,3.2,3.8,3.8333333333333335
5,5,4,5,5,5,4,4,4,4,3,4,2,2,4,5,5,5,5,5,4,4.8,4.2,3.0,4.833333333333333
4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,3,3,4,3,4.0,3.8,3.4,3.1666666666666665
3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3.4,3.4,3.0,3.6666666666666665
3,3,4,4,4,3,4,3,4,3,4,5,3,4,4,5,5,5,5,5,5,3.6,3.4,4.0,5.0
4,3,4,5,4,4,3,4,4,3,3,2,3,3,3,4,5,4,4,5,4,4.0,3.6,2.8,4.333333333333333
2,4,3,3,4,4,4,4,4,3,3,4,4,4,3,5,5,5,5,5,5,3.2,3.8,3.6,5.0
3,3,2,3,2,2,2,3,3,3,4,3,5,3,3,3,3,3,4,3,3,2.6,2.6,3.6,3.1666666666666665
5,5,5,5,5,4,5,5,5,5,4,4,3,4,5,4,4,4,3,4,4,5.0,4.8,4.0,3.8333333333333335
3,3,3,3,4,2,3,3,2,3,3,4,3,4,3,3,3,2,3,2,3,3.2,2.6,3.4,2.6666666666666665
3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3.4,3.0,3.2,3.1666666666666665
5,4,4,5,5,4,4,4,4,4,2,2,2,1,2,4,4,3,4,3,3,4.6,4.0,1.8,3.5
3,4,5,4,5,3,3,4,4,4,5,3,4,5,4,4,4,3,3,2,3,4.2,3.6,4.2,3.1666666666666665
